timestamp,raw_response
2025-08-19 13:26:26,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""support"": 2690.0,
  ""resistance"": 2780.0,
  ""volume_threshold"": 380000,
  ""bollinger"": {
    ""mid_price"": 2822.76,
    ""upper_band"": 2824.94,
    ""lower_band"": 2819.82
  },
  ""macd"": {
    ""signal_line"": 0.421,
    ""histogram"": 0.141,
    ""ma_fast"": 2822.76,
    ""ma_slow"": 2822.38,
    ""ma_signal"": 2822.38
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 2822,
    ""ma_slow"": 2822
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation near current levels with narrow Bollinger bands, indicating low volatility."",
    ""MACD remains near zero, suggesting a lack of strong momentum in either direction."",
    ""ADX remains around 50, indicating sideways trend with no clear breakout signals."",
    ""Volume remains stable and not significantly above recent averages, supporting the sideways movement."",
    ""Support and resistance levels adjusted slightly based on recent high and low prices, with no clear breakout confirmed.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:30:36,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""support"": 2690.0,
  ""resistance"": 2780.0,
  ""volume_threshold"": 380000,
  ""bollinger"": {
    ""mid_price"": 2822.76,
    ""upper_band"": 2824.94,
    ""lower_band"": 2819.82
  },
  ""macd"": {
    ""signal_line"": 0.421,
    ""histogram"": 0.141,
    ""ma_fast"": 2822.76,
    ""ma_slow"": 2822.38,
    ""ma_signal"": 2822.38
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 2822,
    ""ma_slow"": 2822
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a breakout above resistance at 2780, with the current close at 2825.0, indicating strong upward momentum."",
    ""Volume has increased significantly compared to recent averages, supporting the breakout."",
    ""Bollinger bands are widening, suggesting increased volatility and a potential trend continuation."",
    ""MACD remains positive with a widening histogram, confirming bullish momentum."",
    ""ADX remains above 50, indicating a strong trend.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Buy""
}"
2025-08-19 13:36:33,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""support"": 2824.0,
  ""resistance"": 2828.0,
  ""volume_threshold"": 150,
  ""bollinger"": {
    ""mid_price"": 2823.71,
    ""upper_band"": 2827.90,
    ""lower_band"": 2819.76
  },
  ""macd"": {
    ""signal_line"": 0.908,
    ""histogram"": 0.395,
    ""ma_fast"": 2823.71,
    ""ma_slow"": 2823.71,
    ""ma_signal"": 2823.71
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 2823,
    ""ma_slow"": 2823
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation near support at 2824, with no clear breakout or breakdown signals."",
    ""Volume remains stable and does not indicate significant accumulation or distribution."",
    ""Bollinger bands are narrow, indicating low volatility and lack of strong trend."",
    ""MACD remains positive but shows no widening or divergence, suggesting sideways movement."",
    ""ADX remains around 50, indicating a weak trend or consolidation phase.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 14:32:12,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""support"": 2816.1,
  ""resistance"": 2825.8,
  ""volume_threshold"": 1000000,
  ""bollinger"": {
    ""mid_price"": 2821.58,
    ""upper_band"": 2825.8367,
    ""lower_band"": 2817.5233
  },
  ""macd"": {
    ""signal_line"": 0.1127,
    ""histogram"": 0.3349,
    ""ma_fast"": 0.4348,
    ""ma_slow"": 0.0,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 44.26
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to recent lower Bollinger Band level (2816.1) reflecting recent price floor."",
    ""Resistance updated to recent upper Bollinger Band level (2825.8) reflecting recent price ceiling."",
    ""Bollinger bands updated to recent values indicating current volatility range."",
    ""MACD histogram and signal line updated to recent positive values indicating bullish momentum."",
    ""ADX threshold increased from 20 to 44.26 reflecting stronger trend strength in recent data.""
  ],
  ""last_updated"": ""2025-08-19 14:35:00"",
  ""signal"": ""Buy""
}"
2025-08-19 15:17:30,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""support"": 2690.0,
  ""resistance"": 2780.0,
  ""volume_threshold"": 380000,
  ""bollinger"": {
    ""mid_price"": 2822.0,
    ""upper_band"": 2826.5,
    ""lower_band"": 2817.5
  },
  ""macd"": {
    ""signal_line"": 0.060,
    ""histogram"": 0.060,
    ""ma_fast"": 2822.0,
    ""ma_slow"": 2822.0,
    ""ma_signal"": 2822.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a strong upward breakout above previous resistance levels, indicating bullish momentum."",
    ""MACD has crossed above zero, confirming increasing bullish momentum."",
    ""ADX remains high (~50), indicating a strong trend."",
    ""Volume remains elevated, supporting the breakout."",
    ""Bollinger bands are widening, indicating increased volatility and potential for further upward movement.""
  ],
  ""last_updated"": ""2025-08-19 15:16:00"",
  ""signal"": ""Buy""
}"
2025-08-19 15:21:59,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""support"": 2690.0,
  ""resistance"": 2780.0,
  ""volume_threshold"": 380000,
  ""bollinger"": {
    ""mid_price"": 2822.0,
    ""upper_band"": 2826.5,
    ""lower_band"": 2817.5
  },
  ""macd"": {
    ""signal_line"": 0.06,
    ""histogram"": 0.06,
    ""ma_fast"": 2822.0,
    ""ma_slow"": 2822.0,
    ""ma_signal"": 2822.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a strong upward movement, with close near resistance levels and high volume."",
    ""Price is trading above the Bollinger upper band, indicating potential overbought condition but also strong bullish momentum."",
    ""MACD remains positive and above signal line, confirming bullish trend."",
    ""ADX remains high (~50), indicating a strong trend."",
    ""Recent support levels are holding, but resistance is being tested.""
  ],
  ""last_updated"": ""2025-08-19 15:16:00"",
  ""signal"": ""Hold""
}"
2025-09-01 14:47:58,"{
  ""reason"": [
    ""Recent price action shows a significant upward move, crossing above the resistance level of 2828.8, indicating potential bullish momentum."",
    ""The latest candle indicates a strong bullish body with a body percent exceeding 0.7, supporting a bullish bias."",
    ""The ADX value remains above the threshold of 20, confirming the trend strength is still significant."",
    ""The recent momentum indicators (MACD, +DI, -DI) suggest continued bullish pressure."",
    ""Support and resistance levels are close, but the breakout above resistance suggests a potential new upward trend.""
  ],
  ""signal"": ""Bullish Breakout"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.012,
      ""price"": 2928.8
    },
    ""1w"": {
      ""ret"": 0.035,
      ""price"": 2974.4
    },
    ""3m"": {
      ""ret"": 0.085,
      ""price"": 3194.4
    }
  },
  ""ohlcv"": {
    ""time"": ""2025-09-01 14:44:00+00:00"",
    ""open"": 2911.7,
    ""high"": 2913.8,
    ""low"": 2911.3,
    ""close"": 2913.8,
    ""volume"": 395
  },
  ""support"": 2792.13,
  ""resistance"": 2828.8,
  ""volume_threshold"": 45,
  ""bollinger"": {
    ""mid_price"": 2912.7,
    ""upper_band"": 2914.6,
    ""lower_band"": 2910.8
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 2912.7,
    ""ma_slow"": 2911.7
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  }
}"
2025-09-02 11:06:48,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:03:00+00:00"",
    ""open"": 2935.8,
    ""high"": 2939.9,
    ""low"": 2935.8,
    ""close"": 2937.4,
    ""volume"": 1040
  },
  ""support"": 2792.13,
  ""resistance"": 2828.8,
  ""support_realtime"": null,
  ""resistance_realtime"": null,
  ""support_1d"": null,
  ""resistance_1d"": null,
  ""support_1w"": null,
  ""resistance_1w"": null,
  ""support_3m"": null,
  ""resistance_3m"": null,
  ""sr_range_pct_realtime"": null,
  ""sr_range_pct_1d"": null,
  ""sr_range_pct_1w"": null,
  ""sr_range_pct_3m"": null,
  ""volume_threshold"": 45,
  ""bollinger"": {
    ""mid_price"": 2810.46,
    ""upper_band"": 2827.87,
    ""lower_band"": 2792.13
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 2934.14,
    ""ma_slow"": 2922.48
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Price has moved above resistance level of 2828.8, indicating potential bullish momentum."",
    ""Recent daily candles show strong upward movement with increasing volume."",
    ""MACD histogram remains positive with increasing delta, supporting bullish trend."",
    ""Price is near upper Bollinger band, suggesting continued upward volatility.""
  ],
  ""signal"": ""Bullish Breakout"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.012,
      ""price"": 2950.4
    },
    ""1w"": {
      ""ret"": 0.035,
      ""price"": 3024.4
    },
    ""3m"": {
      ""ret"": 0.085,
      ""price"": 3224.4
    }
  }
}"
2025-09-02 11:15:37,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:05:00+00:00"",
    ""open"": 2936.7,
    ""high"": 2940.7,
    ""low"": 2936.7,
    ""close"": 2938.8,
    ""volume"": 67
  },
  ""support"": 2785.2,
  ""resistance"": 2844.0,
  ""support_realtime"": 2905.0,
  ""resistance_realtime"": 2950.0,
  ""support_1d"": 2785.2,
  ""resistance_1d"": 2844.0,
  ""support_1w"": 2668.1,
  ""resistance_1w"": 2849.1,
  ""support_3m"": 1859.8,
  ""resistance_3m"": 2849.1,
  ""sr_range_pct_realtime"": 1.532,
  ""sr_range_pct_1d"": 2.0018,
  ""sr_range_pct_1w"": 6.1619,
  ""sr_range_pct_3m"": 33.6794,
  ""volume_threshold"": 45,
  ""bollinger"": {
    ""mid_price"": 2810.46,
    ""upper_band"": 2827.87,
    ""lower_band"": 2792.13
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 2934.14,
    ""ma_slow"": 2922.48
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Price has moved above resistance level of 2828.8, indicating potential bullish momentum."",
    ""Recent daily candles show strong upward movement with increasing volume."",
    ""MACD histogram remains positive with increasing delta, supporting bullish trend."",
    ""Price is near upper Bollinger band, suggesting continued upward volatility.""
  ],
  ""signal"": ""Bullish Breakout"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.012,
      ""price"": 2950.4,
      ""method"": ""llm_v1""
    },
    ""1w"": {
      ""ret"": 0.035,
      ""price"": 3024.4,
      ""method"": ""llm_v1""
    },
    ""3m"": {
      ""ret"": 0.085,
      ""price"": 3224.4,
      ""method"": ""llm_v1""
    }
  }
}"
2025-09-02 11:24:12,"{
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:14:00+00:00"",
    ""open"": 2941.9,
    ""high"": 2942.0,
    ""low"": 2940.5,
    ""close"": 2940.5,
    ""volume"": 51
  },
  ""support"": 2785.2,
  ""resistance"": 2844.0,
  ""support_realtime"": 2905.0,
  ""resistance_realtime"": 2950.0,
  ""support_1d"": 2785.2,
  ""resistance_1d"": 2844.0,
  ""support_1w"": 2668.1,
  ""resistance_1w"": 2849.1,
  ""support_3m"": 1859.8,
  ""resistance_3m"": 2849.1,
  ""sr_range_pct_realtime"": 1.5292,
  ""sr_range_pct_1d"": 1.9981,
  ""sr_range_pct_1w"": 6.1506,
  ""sr_range_pct_3m"": 33.6176,
  ""volume_threshold"": 45,
  ""bollinger"": {
    ""mid_price"": 2810.46,
    ""upper_band"": 2827.87,
    ""lower_band"": 2792.13
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 2934.14,
    ""ma_slow"": 2922.48
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Price has moved above resistance level of 2828.8, indicating potential bullish momentum."",
    ""Recent daily candles show strong upward movement with increasing volume."",
    ""MACD histogram remains positive with increasing delta, supporting bullish trend."",
    ""Price is near upper Bollinger band, suggesting continued upward volatility.""
  ],
  ""signal"": ""Bullish Breakout"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.012,
      ""price"": 2950.4,
      ""method"": ""llm_v1""
    },
    ""1w"": {
      ""ret"": 0.035,
      ""price"": 3024.4,
      ""method"": ""llm_v1""
    },
    ""3m"": {
      ""ret"": 0.085,
      ""price"": 3224.4,
      ""method"": ""llm_v1""
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 2950.4,
      ""ret"": 0.012
    },
    ""1w"": {
      ""time"": null,
      ""price"": 3024.4,
      ""ret"": 0.035
    },
    ""3m"": {
      ""time"": null,
      ""price"": 3224.4,
      ""ret"": 0.085
    }
  }
}"
2025-09-02 11:32:44,"{
  ""reason"": [
    ""Price has moved above the resistance level of 2844.0, indicating potential bullish momentum."",
    ""Recent daily candles show strong upward movement with increasing volume."",
    ""MACD histogram remains positive with increasing delta, supporting bullish trend."",
    ""Price is near the upper Bollinger band, suggesting continued upward volatility.""
  ],
  ""signal"": ""Bullish Breakout"",
  ""stock_code"": ""ANANDRATHI"",
  ""instrument_token"": 1829121,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:23:00+00:00"",
    ""open"": 2940.0,
    ""high"": 2942.8,
    ""low"": 2938.9,
    ""close"": 2941.0,
    ""volume"": 286
  },
  ""support"": 2785.2,
  ""resistance"": 2844.0,
  ""support_realtime"": 2906.0,
  ""resistance_realtime"": 2950.0,
  ""support_1d"": 2785.2,
  ""resistance_1d"": 2844.0,
  ""support_1w"": 2668.1,
  ""resistance_1w"": 2849.1,
  ""support_3m"": 1859.8,
  ""resistance_3m"": 2849.1,
  ""sr_range_pct_realtime"": 1.4956,
  ""sr_range_pct_1d"": 1.9987,
  ""sr_range_pct_1w"": 6.1525,
  ""sr_range_pct_3m"": 33.6279,
  ""volume_threshold"": 45,
  ""bollinger"": {
    ""mid_price"": 2940.6,
    ""upper_band"": 2943.16,
    ""lower_band"": 2938.04
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 2921.139,
    ""ma_slow"": 2921.139
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.012,
      ""price"": 2950.4
    },
    ""1w"": {
      ""ret"": 0.035,
      ""price"": 3024.4
    },
    ""3m"": {
      ""ret"": 0.085,
      ""price"": 3224.4
    }
  }
}"
