timestamp,raw_response
2025-08-19 13:27:28,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1560.0,
  ""resistance"": 1590.0,
  ""volume_threshold"": 3200000,
  ""bollinger"": {
    ""mid_price"": 1582.49,
    ""upper_band"": 1584.39,
    ""lower_band"": 1580.60
  },
  ""macd"": {
    ""signal_line"": -0.0282,
    ""histogram"": -0.1960,
    ""ma_fast"": 1582.4,
    ""ma_slow"": 1582.49,
    ""ma_signal"": 1582.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent 1-minute data shows price holding near resistance level of 1590 but not breaking out."",
    ""MACD histogram and signal line turned negative in recent candles, indicating weakening momentum."",
    ""Bollinger Bands slightly tightened and price is near mid to upper band, showing consolidation."",
    ""Volume in recent candles is very low compared to threshold, no breakout confirmed.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:31:40,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1560.0,
  ""resistance"": 1590.0,
  ""volume_threshold"": 3200000,
  ""bollinger"": {
    ""mid_price"": 1582.49,
    ""upper_band"": 1584.39,
    ""lower_band"": 1580.6
  },
  ""macd"": {
    ""signal_line"": -0.0282,
    ""histogram"": -0.196,
    ""ma_fast"": 1582.4,
    ""ma_slow"": 1582.49,
    ""ma_signal"": 1582.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent 1-minute data shows price holding near resistance level of 1590 but not breaking out."",
    ""MACD histogram and signal line turned negative in recent candles, indicating weakening momentum."",
    ""Bollinger Bands slightly tightened and price is near mid to upper band, showing consolidation."",
    ""Volume in recent candles is very low compared to threshold, no breakout confirmed.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:37:33,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1579.6,
  ""resistance"": 1584.1,
  ""volume_threshold"": 3200000,
  ""bollinger"": {
    ""mid_price"": 1581.85,
    ""upper_band"": 1584.06,
    ""lower_band"": 1579.64
  },
  ""macd"": {
    ""signal_line"": -0.3416,
    ""histogram"": 0.1144,
    ""ma_fast"": 1581.26,
    ""ma_slow"": 1581.85,
    ""ma_signal"": 1581.26
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent 1-minute data shows price breaking above previous resistance of 1590, now adjusted to 1584.1 based on upper Bollinger Band and recent highs."",
    ""Support level raised to 1579.6 reflecting recent lower Bollinger Band and price holding above this level in recent candles."",
    ""MACD histogram turned positive in recent 1-minute data indicating potential momentum shift."",
    ""Bollinger Bands remain tight but price is near upper band, suggesting possible breakout."",
    ""Volume remains below threshold but price action and indicator changes justify update.""
  ],
  ""last_updated"": ""2025-08-19 13:40:00"",
  ""signal"": ""Buy""
}"
2025-08-19 13:52:04,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1580.0,
  ""resistance"": 1584.0,
  ""volume_threshold"": 3200000,
  ""bollinger"": {
    ""mid_price"": 1581.69,
    ""upper_band"": 1584.0,
    ""lower_band"": 1580.0
  },
  ""macd"": {
    ""signal_line"": -0.1989,
    ""histogram"": 0.1925,
    ""ma_fast"": 1581.69,
    ""ma_slow"": 1581.69,
    ""ma_signal"": 1581.69
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent 1-minute data shows price holding above previous support level near 1580, adjusted support to 1580.0 reflecting recent lower Bollinger Band and price action."",
    ""Resistance adjusted slightly to 1584.0 aligning with recent upper Bollinger Band and historical resistance levels."",
    ""MACD histogram turned positive in recent 1-minute data indicating potential momentum shift upwards."",
    ""Bollinger Bands remain tight with price near upper band, suggesting possible breakout but volume remains below threshold."",
    ""ADX remains below threshold indicating no strong trend yet, signal remains cautious.""
  ],
  ""last_updated"": ""2025-08-19 13:40:00"",
  ""signal"": ""Hold""
}"
2025-08-19 14:44:12,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1560.0,
  ""resistance"": 1590.0,
  ""volume_threshold"": 3200000,
  ""bollinger"": {
    ""mid_price"": 1585.15,
    ""upper_band"": 1589.7,
    ""lower_band"": 1581.5
  },
  ""macd"": {
    ""signal_line"": 0.3676374406987419,
    ""histogram"": 0.5802883000030066,
    ""ma_fast"": 1585.6,
    ""ma_slow"": 1585.15,
    ""ma_signal"": 1585.6
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""No significant breakout or breakdown in recent 1-minute data to justify changes."",
    ""Recent 1-minute MACD histogram is negative, indicating weakening momentum."",
    ""Volume in recent candles is low compared to threshold, no volume breakout."",
    ""Support and resistance levels remain valid based on recent price action.""
  ],
  ""last_updated"": ""2025-08-19 14:00:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:14:07,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1578.0,
  ""resistance"": 1583.5,
  ""volume_threshold"": 3200000,
  ""bollinger"": {
    ""mid_price"": 1581.115,
    ""upper_band"": 1583.342352688731,
    ""lower_band"": 1578.8876473112691
  },
  ""macd"": {
    ""signal_line"": -0.3542017241072997,
    ""histogram"": 0.007775188782746023,
    ""ma_fast"": 1580.888888888889,
    ""ma_slow"": 1581.115,
    ""ma_signal"": 1580.888888888889
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent 1-minute data shows price breaking above previous resistance of 1590.0, adjusting resistance to 1583.5 based on Bollinger upper band and recent highs."",
    ""Support level updated to 1578.0 aligned with recent Bollinger lower band and price action."",
    ""MACD histogram near zero with slight positive delta indicates neutral momentum, no change in MACD parameters."",
    ""Volume in recent candles remains below threshold, volume threshold unchanged."",
    ""ADX remains below threshold, indicating no strong trend; hence ADX parameters unchanged.""
  ],
  ""last_updated"": ""2025-08-19 14:45:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:18:34,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1578.0,
  ""resistance"": 1583.5,
  ""volume_threshold"": 3200000,
  ""bollinger"": {
    ""mid_price"": 1581.115,
    ""upper_band"": 1583.342352688731,
    ""lower_band"": 1578.8876473112691
  },
  ""macd"": {
    ""signal_line"": -0.3542017241072997,
    ""histogram"": 0.007775188782746023,
    ""ma_fast"": 1580.888888888889,
    ""ma_slow"": 1581.115,
    ""ma_signal"": 1580.888888888889
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent 1-minute data confirms price remains below resistance of 1583.5 and above support of 1578.0, no breakout observed."",
    ""Volume in recent candles remains below threshold, no adjustment needed."",
    ""MACD histogram near zero with slight negative delta indicates neutral momentum, no change in MACD parameters."",
    ""ADX remains below threshold indicating no strong trend; ADX parameters unchanged."",
    ""Bollinger Bands remain consistent with recent price action; no update required.""
  ],
  ""last_updated"": ""2025-08-19 15:20:00"",
  ""signal"": ""Hold""
}"
2025-08-22 11:36:19,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1565.94,
  ""resistance"": 1571.1,
  ""volume_threshold"": 7478,
  ""bollinger"": {
    ""mid_price"": 1568.52,
    ""upper_band"": 1571.1,
    ""lower_band"": 1565.94
  },
  ""macd"": {
    ""signal_line"": -0.3542017241072997,
    ""histogram"": 0.007775188782746023,
    ""ma_fast"": 1580.888888888889,
    ""ma_slow"": 1581.115,
    ""ma_signal"": 1580.888888888889
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""No significant breakout or trend change in recent 1-minute candles"",
    ""Support and resistance levels remain valid as price is within Bollinger Bands and near mid-price"",
    ""ADX remains below threshold indicating no strong trend"",
    ""Volume threshold unchanged due to stable recent volume""
  ],
  ""last_updated"": ""2025-08-21 15:10:00"",
  ""signal"": ""Hold"",
  ""forecast"": ""basic_algo""
}"
2025-08-22 12:01:00,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1560.89,
  ""resistance"": 1582.91,
  ""volume_threshold"": 5855,
  ""bollinger"": {
    ""mid_price"": 1571.84,
    ""upper_band"": 1582.91,
    ""lower_band"": 1560.78
  },
  ""macd"": {
    ""signal_line"": -0.3542017241072997,
    ""histogram"": 0.007775188782746023,
    ""ma_fast"": 1580.888888888889,
    ""ma_slow"": 1581.115,
    ""ma_signal"": 1580.888888888889
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to recent upper Bollinger Band level 1582.91 due to price testing and closing near this level in recent 1-minute candles."",
    ""Bollinger Bands updated to reflect recent mid price and upper/lower bands from 1-minute data."",
    ""Signal set to Hold as price is near resistance with moderate volume and no strong breakout confirmed.""
  ],
  ""last_updated"": ""2025-08-22 11:45:00"",
  ""signal"": ""Hold"",
  ""forecast"": ""basic_algo""
}"
2025-08-22 12:03:12,"{
  ""stock_code"": ""CDSL"",
  ""instrument_token"": 5420545,
  ""support"": 1560.89,
  ""resistance"": 1583.19,
  ""volume_threshold"": 5855,
  ""bollinger"": {
    ""mid_price"": 1580.84,
    ""upper_band"": 1583.19,
    ""lower_band"": 1578.48
  },
  ""macd"": {
    ""signal_line"": -0.3542017241072997,
    ""histogram"": 0.007775188782746023,
    ""ma_fast"": 1580.888888888889,
    ""ma_slow"": 1581.115,
    ""ma_signal"": 1580.888888888889
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to recent 1-minute candle high 1583.19 reflecting breakout attempt above previous resistance 1582.91."",
    ""Bollinger Bands updated to recent 1-minute data mid price 1580.84 and upper/lower bands 1583.19/1578.48 indicating tighter range near resistance."",
    ""Signal set to Hold as price is testing resistance with moderate volume and no confirmed breakout yet.""
  ],
  ""last_updated"": ""2025-08-22 12:05:00"",
  ""signal"": ""Hold""
}"
