timestamp,raw_response
2025-08-19 13:26:37,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""support"": 1815.0,
  ""resistance"": 1964.3,
  ""volume_threshold"": 135159,
  ""bollinger"": {
    ""mid_price"": 1870.5454545454545,
    ""upper_band"": 1873.5549711316598,
    ""lower_band"": 1867.5359379592492
  },
  ""macd"": {
    ""signal_line"": -0.8653663805629008,
    ""histogram"": -0.3481613536654635,
    ""ma_fast"": 1870.111111111111,
    ""ma_slow"": 1870.5454545454545,
    ""ma_signal"": 1870.5454545454545
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute data range around 1870.5."",
    ""MACD values updated to reflect recent 1-minute data showing slight negative histogram."",
    ""Support retained at 1815.0 as no recent lower breakout observed."",
    ""Resistance retained at 1964.3 as recent prices remain below this level."",
    ""Volume threshold retained at 135159 due to no significant volume spike in recent data."",
    ""ADX threshold retained at 20 as ADX remains below threshold indicating no strong trend.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:30:51,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""support"": 1815.0,
  ""resistance"": 1964.3,
  ""volume_threshold"": 135159,
  ""bollinger"": {
    ""mid_price"": 1870.1,
    ""upper_band"": 1873.08,
    ""lower_band"": 1867.12
  },
  ""macd"": {
    ""signal_line"": -1.1147,
    ""histogram"": -0.1496,
    ""ma_fast"": 1869.12,
    ""ma_slow"": 1870.1,
    ""ma_signal"": 1870.1
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute data range around 1870.1."",
    ""MACD values updated to reflect recent 1-minute data showing slight negative histogram."",
    ""Support retained at 1815.0 as no recent lower breakout observed in last few days."",
    ""Resistance retained at 1964.3 as recent prices remain below this level without breakout."",
    ""Volume threshold retained at 135159 due to no significant volume spike in recent data."",
    ""ADX threshold retained at 20 as ADX remains below threshold indicating no strong trend.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:36:46,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""support"": 1815.0,
  ""resistance"": 1964.3,
  ""volume_threshold"": 135159,
  ""bollinger"": {
    ""mid_price"": 1869.53,
    ""upper_band"": 1872.08,
    ""lower_band"": 1866.98
  },
  ""macd"": {
    ""signal_line"": -1.0928,
    ""histogram"": -0.1047,
    ""ma_fast"": 1868.88,
    ""ma_slow"": 1869.53,
    ""ma_signal"": 1869.53
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute data range around 1869.53."",
    ""MACD values updated to reflect recent 1-minute data showing slight negative histogram."",
    ""Support retained at 1815.0 as no recent lower breakout observed in last few days."",
    ""Resistance retained at 1964.3 as recent prices remain below this level without breakout."",
    ""Volume threshold retained at 135159 due to no significant volume spike in recent data."",
    ""ADX threshold retained at 20 as ADX remains below threshold indicating no strong trend.""
  ],
  ""last_updated"": ""2025-08-19 13:35:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:17:43,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""support"": 1815.0,
  ""resistance"": 1876.35,
  ""volume_threshold"": 135159,
  ""bollinger"": {
    ""mid_price"": 1860.53,
    ""upper_band"": 1876.35,
    ""lower_band"": 1844.72
  },
  ""macd"": {
    ""signal_line"": -4.11,
    ""histogram"": -1.38,
    ""ma_fast"": 1853.44,
    ""ma_slow"": 1860.53,
    ""ma_signal"": 1860.53
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated from 1964.3 to 1876.35 based on recent 1-minute candle upper Bollinger Band and recent high."",
    ""Bollinger Bands updated to reflect recent 1-minute data range with mid price at 1860.53, upper band at 1876.35, and lower band at 1844.72."",
    ""MACD values updated to reflect recent 1-minute data: signal line -4.11, histogram -1.38, moving averages adjusted accordingly."",
    ""Support retained at 1815.0 as no recent breakout below this level was observed."",
    ""Volume threshold retained at 135159 due to no significant volume spike in recent data."",
    ""ADX threshold and period retained as recent ADX is above threshold indicating trend strength.""
  ],
  ""last_updated"": ""2025-08-19 15:20:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:22:12,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""support"": 1815.0,
  ""resistance"": 1871.81,
  ""volume_threshold"": 135159,
  ""bollinger"": {
    ""mid_price"": 1856.44,
    ""upper_band"": 1871.81,
    ""lower_band"": 1841.06
  },
  ""macd"": {
    ""signal_line"": -4.95,
    ""histogram"": -0.37,
    ""ma_fast"": 1849.43,
    ""ma_slow"": 1856.44,
    ""ma_signal"": 1856.44
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated from 1876.35 to 1871.81 based on recent 1-minute candle upper Bollinger Band and recent high of 1871.81."",
    ""Bollinger Bands updated to reflect recent 1-minute data range with mid price at 1856.44, upper band at 1871.81, and lower band at 1841.06."",
    ""MACD values updated to reflect recent 1-minute data: signal line -4.95, histogram -0.37, moving averages adjusted accordingly."",
    ""Support retained at 1815.0 as no recent breakout below this level was observed."",
    ""Volume threshold retained at 135159 due to no significant volume spike in recent data."",
    ""ADX threshold and period retained as recent ADX is above threshold indicating trend strength.""
  ],
  ""last_updated"": ""2025-08-19 15:22:00"",
  ""signal"": ""Hold""
}"
2025-09-01 14:48:18,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""ohlcv"": {
    ""time"": ""2025-09-01T14:44:00+00:00"",
    ""open"": 1765.5,
    ""high"": 1767.7,
    ""low"": 1765.1,
    ""close"": 1766.5,
    ""volume"": 275
  },
  ""support"": 1765.1,
  ""resistance"": 1769.5,
  ""volume_threshold"": 600,
  ""bollinger"": {
    ""mid_price"": 1767.2,
    ""upper_band"": 1769.1339079605943,
    ""lower_band"": 1765.2660920394057
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support and resistance to recent Bollinger lower and upper bands"",
    ""Volume threshold adjusted to recent average volume (~275) rounded to 600 for noise tolerance"",
    ""Bollinger bands updated to recent values from 1-min data"",
    ""Signal remains 'No Action' due to weak momentum and ADX below threshold""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": -0.005,
      ""price"": 1757.6675
    },
    ""1w"": {
      ""ret"": 0.002,
      ""price"": 1770.833
    },
    ""3m"": {
      ""ret"": 0.015,
      ""price"": 1793.4975
    }
  }
}"
2025-09-02 11:07:12,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""ohlcv"": {
    ""time"": ""2025-09-02T11:04:00+00:00"",
    ""open"": 1783.4,
    ""high"": 1784.5,
    ""low"": 1783.4,
    ""close"": 1784.3,
    ""volume"": 89
  },
  ""support"": 1777.35,
  ""resistance"": 1786.72,
  ""support_realtime"": null,
  ""resistance_realtime"": null,
  ""support_1d"": null,
  ""resistance_1d"": null,
  ""support_1w"": null,
  ""resistance_1w"": null,
  ""support_3m"": null,
  ""resistance_3m"": null,
  ""sr_range_pct_realtime"": null,
  ""sr_range_pct_1d"": null,
  ""sr_range_pct_1w"": null,
  ""sr_range_pct_3m"": null,
  ""volume_threshold"": 90,
  ""bollinger"": {
    ""mid_price"": 1782.03,
    ""upper_band"": 1786.72,
    ""lower_band"": 1777.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support and resistance to recent Bollinger Bands lower and upper bands (1777.35 and 1786.72) based on latest 1-min data"",
    ""Lowered volume_threshold from 610 to 90 reflecting recent low volume in 1-min data"",
    ""Updated Bollinger Bands mid, upper, and lower to recent 1-min values"",
    ""Price dropped significantly from ~1880s to ~1784 indicating bearish momentum"",
    ""ADX remains below threshold indicating weak trend strength, signal remains No Action""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": -0.005,
      ""price"": 1775.38
    },
    ""1w"": {
      ""ret"": -0.015,
      ""price"": 1757.73
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 1819.99
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 1775.38,
      ""ret"": -0.005
    },
    ""1w"": {
      ""time"": null,
      ""price"": 1757.73,
      ""ret"": -0.015
    },
    ""3m"": {
      ""time"": null,
      ""price"": 1819.99,
      ""ret"": 0.02
    }
  }
}"
2025-09-02 11:15:59,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:13:00+00:00"",
    ""open"": 1779.3,
    ""high"": 1779.3,
    ""low"": 1777.9,
    ""close"": 1778.6,
    ""volume"": 216
  },
  ""support"": 1777.7,
  ""resistance"": 1784.6,
  ""support_realtime"": 1746.0,
  ""resistance_realtime"": 1786.8,
  ""support_1d"": 1822.3,
  ""resistance_1d"": 1866.3,
  ""support_1w"": 1822.3,
  ""resistance_1w"": 1968.6,
  ""support_3m"": 1760.1,
  ""resistance_3m"": 2231.6,
  ""sr_range_pct_realtime"": 2.2878,
  ""sr_range_pct_1d"": 2.4672,
  ""sr_range_pct_1w"": 8.2034,
  ""sr_range_pct_3m"": 26.4383,
  ""volume_threshold"": 90,
  ""bollinger"": {
    ""mid_price"": 1781.17,
    ""upper_band"": 1784.64,
    ""lower_band"": 1777.7
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support and resistance to recent Bollinger Bands lower and upper bands (1777.7 and 1784.64) based on latest 1-min data"",
    ""Lowered volume_threshold from 610 to 90 reflecting recent low volume in 1-min data"",
    ""Updated Bollinger Bands mid, upper, and lower to recent 1-min values"",
    ""Latest close at 1778.6 shows bearish momentum from prior levels near 1880s"",
    ""ADX remains below threshold indicating weak trend strength, signal remains No Action""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": -0.005,
      ""price"": 1770.71
    },
    ""1w"": {
      ""ret"": -0.015,
      ""price"": 1751.32
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 1814.17
    }
  }
}"
2025-09-02 11:24:39,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:21:00+00:00"",
    ""open"": 1775.9,
    ""high"": 1776.1,
    ""low"": 1774.0,
    ""close"": 1775.1,
    ""volume"": 568
  },
  ""support"": 1775.4582419539045,
  ""resistance"": 1785.6417580460954,
  ""support_realtime"": 1775.4582419539045,
  ""resistance_realtime"": 1785.6417580460954,
  ""support_1d"": 1822.3,
  ""resistance_1d"": 1866.3,
  ""support_1w"": 1822.3,
  ""resistance_1w"": 1968.6,
  ""support_3m"": 1760.1,
  ""resistance_3m"": 2231.6,
  ""sr_range_pct_realtime"": 0.58,
  ""sr_range_pct_1d"": 2.4727,
  ""sr_range_pct_1w"": 8.2219,
  ""sr_range_pct_3m"": 26.4977,
  ""volume_threshold"": 90,
  ""bollinger"": {
    ""mid_price"": 1780.55,
    ""upper_band"": 1785.6417580460954,
    ""lower_band"": 1775.4582419539045
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support and resistance to recent 1-min Bollinger Bands lower and upper bands (1775.46 and 1785.64) reflecting current price compression"",
    ""Volume threshold lowered to 90 based on recent low 1-min volumes"",
    ""Bollinger Bands mid, upper, and lower updated to recent 1-min indicator values"",
    ""Latest close at 1775.1 indicates bearish momentum continuation below prior support levels"",
    ""ADX remains below threshold indicating weak trend strength, signal remains No Action""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": -0.005,
      ""price"": 1766.22
    },
    ""1w"": {
      ""ret"": -0.015,
      ""price"": 1748.72
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 1810.60
    }
  }
}"
2025-09-02 11:33:09,"{
  ""stock_code"": ""CHOLAHLDNG"",
  ""instrument_token"": 5565441,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:30:00+00:00"",
    ""open"": 1771.5,
    ""high"": 1772.0,
    ""low"": 1771.3,
    ""close"": 1771.9,
    ""volume"": 219
  },
  ""support"": 1768.62,
  ""resistance"": 1783.15,
  ""support_realtime"": 1768.62,
  ""resistance_realtime"": 1783.15,
  ""support_1d"": 1822.3,
  ""resistance_1d"": 1866.3,
  ""support_1w"": 1822.3,
  ""resistance_1w"": 1968.6,
  ""support_3m"": 1760.1,
  ""resistance_3m"": 2231.6,
  ""sr_range_pct_realtime"": 0.81,
  ""sr_range_pct_1d"": 2.4787,
  ""sr_range_pct_1w"": 8.2418,
  ""sr_range_pct_3m"": 26.5619,
  ""volume_threshold"": 90,
  ""bollinger"": {
    ""mid_price"": 1775.885,
    ""upper_band"": 1783.151986996001,
    ""lower_band"": 1768.6180130039995
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support and resistance to recent 1-min Bollinger Bands lower and upper bands (1768.62 and 1783.15) reflecting current price compression"",
    ""Volume threshold remains at 90 based on recent low 1-min volumes"",
    ""Bollinger Bands mid, upper, and lower updated to recent 1-min indicator values"",
    ""Latest close at 1771.9 shows price below prior support, indicating bearish momentum continuation"",
    ""ADX remains below threshold indicating weak trend strength, signal remains No Action""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": -0.005,
      ""price"": 1762.04
    },
    ""1w"": {
      ""ret"": -0.015,
      ""price"": 1745.02
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 1806.34
    }
  }
}"
