timestamp,raw_response
2025-08-19 13:28:34,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 458.75,
  ""resistance"": 474.1,
  ""volume_threshold"": 1205382,
  ""bollinger"": {
    ""mid_price"": 462.9,
    ""upper_band"": 474.1,
    ""lower_band"": 458.75
  },
  ""macd"": {
    ""signal_line"": 0.0,
    ""histogram"": 0.0,
    ""ma_fast"": 462.9,
    ""ma_slow"": 462.9,
    ""ma_signal"": 462.9
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support level retained at 458.75 as recent 1-minute lows confirm this level."",
    ""Resistance level retained at 474.1 from historical highs with no breakout in recent data."",
    ""Volume threshold unchanged due to no significant volume spikes in recent 1-minute data."",
    ""Bollinger bands mid, upper, and lower levels remain consistent with historical and recent data."",
    ""MACD values remain reset to zero due to lack of MACD signal in recent 1-minute candles."",
    ""ADX threshold and period unchanged as ADX remains stable without strong trend indication.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:34:28,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 458.75,
  ""resistance"": 474.1,
  ""volume_threshold"": 1205382,
  ""bollinger"": {
    ""mid_price"": 469.73,
    ""upper_band"": 470.32,
    ""lower_band"": 469.14
  },
  ""macd"": {
    ""signal_line"": -0.1348,
    ""histogram"": -0.0190,
    ""ma_fast"": 469.46,
    ""ma_slow"": 469.73,
    ""ma_signal"": 469.73
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger bands updated to reflect recent 1-minute data mid, upper, and lower bands around 469.73, 470.32, and 469.14 respectively."",
    ""MACD values updated from recent 1-minute data showing slight negative histogram and signal line indicating weak bearish momentum."",
    ""Moving averages ma_fast and ma_slow updated to recent 1-minute averages around 469.46 and 469.73 respectively."",
    ""Support and resistance levels retained as recent data does not show breakout beyond historical levels."",
    ""Volume threshold unchanged due to no significant volume spikes in recent data."",
    ""ADX threshold and period unchanged as ADX remains below strong trend indication.""
  ],
  ""last_updated"": ""2025-08-19 13:35:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:38:43,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 458.75,
  ""resistance"": 474.1,
  ""volume_threshold"": 1205382,
  ""bollinger"": {
    ""mid_price"": 469.59,
    ""upper_band"": 470.19,
    ""lower_band"": 468.99
  },
  ""macd"": {
    ""signal_line"": -0.1601,
    ""histogram"": -0.0116,
    ""ma_fast"": 469.41,
    ""ma_slow"": 469.59,
    ""ma_signal"": 469.59
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger bands updated to reflect recent 1-minute data mid, upper, and lower bands around 469.59, 470.19, and 468.99 respectively."",
    ""MACD values updated from recent 1-minute data showing slight negative histogram and signal line indicating weak bearish momentum."",
    ""Moving averages ma_fast and ma_slow updated to recent 1-minute averages around 469.41 and 469.59 respectively."",
    ""Support and resistance levels retained as recent data does not show breakout beyond historical levels."",
    ""Volume threshold unchanged due to no significant volume spikes in recent data."",
    ""ADX threshold and period unchanged as ADX remains below strong trend indication.""
  ],
  ""last_updated"": ""2025-08-19 13:40:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:53:33,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 458.75,
  ""resistance"": 474.1,
  ""volume_threshold"": 1205382,
  ""bollinger"": {
    ""mid_price"": 469.52,
    ""upper_band"": 469.93,
    ""lower_band"": 469.11
  },
  ""macd"": {
    ""signal_line"": -0.1251,
    ""histogram"": 0.0587,
    ""ma_fast"": 469.48,
    ""ma_slow"": 469.52,
    ""ma_signal"": 469.52
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger bands updated to reflect recent 1-minute data mid, upper, and lower bands around 469.52, 469.93, and 469.11 respectively."",
    ""MACD values updated from recent 1-minute data showing histogram turning positive indicating potential bullish momentum."",
    ""Moving averages ma_fast and ma_slow updated to recent 1-minute averages around 469.48 and 469.52 respectively."",
    ""Support and resistance levels retained as recent data does not show breakout beyond historical levels."",
    ""Volume threshold unchanged due to no significant volume spikes in recent data."",
    ""ADX threshold and period unchanged as ADX remains below strong trend indication.""
  ],
  ""last_updated"": ""2025-08-19 13:52:00"",
  ""signal"": ""Hold""
}"
2025-08-19 14:45:25,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 467.9,
  ""resistance"": 474.1,
  ""volume_threshold"": 1205382,
  ""bollinger"": {
    ""mid_price"": 469.85,
    ""upper_band"": 471.79,
    ""lower_band"": 467.91
  },
  ""macd"": {
    ""signal_line"": 0.08,
    ""histogram"": 0.34,
    ""ma_fast"": 470.42,
    ""ma_slow"": 469.85,
    ""ma_signal"": 469.85
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support level raised from 458.75 to 467.9 based on recent 1-minute lows around 467.9 confirming stronger short-term support."",
    ""Resistance level retained at 474.1 as recent highs have not broken this level."",
    ""Volume threshold unchanged due to no significant volume spikes in recent 1-minute data."",
    ""Bollinger bands updated to reflect recent 1-minute data with mid price at 469.85, upper band at 471.79, and lower band at 467.91."",
    ""MACD values updated from zero to reflect recent positive MACD histogram and signal line indicating mild bullish momentum."",
    ""ADX threshold and period unchanged as ADX remains stable without strong trend indication.""
  ],
  ""last_updated"": ""2025-08-19 14:45:00"",
  ""signal"": ""Buy""
}"
2025-08-19 15:15:27,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 467.9,
  ""resistance"": 474.1,
  ""volume_threshold"": 1205382,
  ""bollinger"": {
    ""mid_price"": 470.07,
    ""upper_band"": 472.19,
    ""lower_band"": 467.95
  },
  ""macd"": {
    ""signal_line"": 0.22,
    ""histogram"": 0.28,
    ""ma_fast"": 470.83,
    ""ma_slow"": 470.07,
    ""ma_signal"": 470.07
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support level retained at 467.9 as recent 1-minute lows confirm this level as strong short-term support."",
    ""Resistance level retained at 474.1 as recent highs have not broken this level."",
    ""Volume threshold unchanged due to no significant volume spikes in recent 1-minute data."",
    ""Bollinger bands updated to reflect recent 1-minute data with mid price at 470.07, upper band at 472.19, and lower band at 467.95."",
    ""MACD values updated to reflect recent positive MACD histogram and signal line indicating mild bullish momentum."",
    ""ADX threshold and period unchanged as ADX remains stable without strong trend indication.""
  ],
  ""last_updated"": ""2025-08-19 15:15:00"",
  ""signal"": ""Buy""
}"
2025-08-19 15:19:47,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 468.08,
  ""resistance"": 474.1,
  ""volume_threshold"": 1205382,
  ""bollinger"": {
    ""mid_price"": 470.54,
    ""upper_band"": 472.99,
    ""lower_band"": 468.08
  },
  ""macd"": {
    ""signal_line"": 0.44,
    ""histogram"": 0.17,
    ""ma_fast"": 471.76,
    ""ma_slow"": 470.54,
    ""ma_signal"": 470.54
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support level updated to 468.08 based on recent 1-minute Bollinger lower band and lows confirming stronger short-term support above previous 467.9."",
    ""Resistance level retained at 474.1 as recent highs have not broken this level."",
    ""Volume threshold unchanged due to no significant volume spikes in recent 1-minute data."",
    ""Bollinger bands updated to reflect recent 1-minute data with mid price at 470.54, upper band at 472.99, and lower band at 468.08."",
    ""MACD values updated to reflect recent positive MACD histogram and signal line indicating mild bullish momentum with faster moving averages."",
    ""ADX threshold and period unchanged as ADX remains stable without strong trend indication.""
  ],
  ""last_updated"": ""2025-08-19 15:18:00"",
  ""signal"": ""Buy""
}"
2025-08-22 12:04:50,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 468.92,
  ""resistance"": 474.0,
  ""volume_threshold"": 10041,
  ""bollinger"": {
    ""mid_price"": 473.32,
    ""upper_band"": 473.96,
    ""lower_band"": 472.68
  },
  ""macd"": {
    ""signal_line"": 0.48,
    ""histogram"": 0.48,
    ""ma_fast"": 473.58,
    ""ma_slow"": 473.32,
    ""ma_signal"": 473.32
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to recent upper Bollinger Band and recent high of 474.0 indicating breakout potential."",
    ""Bollinger Bands updated to reflect recent tighter range and mid price shift."",
    ""MACD histogram and signal line increased, indicating strengthening bullish momentum."",
    ""Moving averages updated to recent values from 1-minute data for short-term accuracy."",
    ""Signal changed to Hold due to consolidation near resistance with volume not significantly above threshold.""
  ],
  ""last_updated"": ""2025-08-22 12:10:00"",
  ""signal"": ""Hold"",
  ""forecast"": ""basic_algo""
}"
2025-08-22 12:10:08,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""support"": 468.92,
  ""resistance"": 474.0,
  ""volume_threshold"": 10041,
  ""bollinger"": {
    ""mid_price"": 473.41,
    ""upper_band"": 473.99,
    ""lower_band"": 472.82
  },
  ""macd"": {
    ""signal_line"": 0.32,
    ""histogram"": 0.32,
    ""ma_fast"": 473.63,
    ""ma_slow"": 473.41,
    ""ma_signal"": 473.41
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute data showing slightly higher upper band and adjusted mid and lower bands."",
    ""MACD values updated to recent 1-minute data indicating a slight decrease in bullish momentum but still positive histogram."",
    ""Moving averages ma_fast and ma_slow updated to recent 1-minute averages for short-term accuracy."",
    ""Support and resistance levels remain unchanged as recent data consolidates below resistance without breakout."",
    ""Volume threshold unchanged due to low volume in recent 1-minute candles and no significant volume spike.""
  ],
  ""last_updated"": ""2025-08-22 12:10:00"",
  ""signal"": ""Hold""
}"
2025-09-01 14:35:36,"{
  ""stock_code"": ""DELHIVERY"",
  ""instrument_token"": 2457345,
  ""ohlcv"": {
    ""time"": ""2025-09-01T11:23:00+00:00"",
    ""open"": 475.95,
    ""high"": 476.0,
    ""low"": 475.8,
    ""close"": 475.95,
    ""volume"": 3845
  },
  ""support"": 474.45,
  ""resistance"": 476.08,
  ""volume_threshold"": 6868,
  ""bollinger"": {
    ""mid_price"": 475.3,
    ""upper_band"": 476.14,
    ""lower_band"": 474.46
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated latest OHLCV from recent data"",
    ""Bollinger mid_price and upper_band adjusted slightly to recent values"",
    ""Price closed near resistance with volume below threshold, indicating potential resistance test"",
    ""ADX remains above threshold indicating trend strength"",
    ""MACD histogram positive but decreasing, suggesting weakening momentum""
  ],
  ""signal"": ""Watch"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.002,
      ""price"": 476.85
    },
    ""1w"": {
      ""ret"": 0.008,
      ""price"": 479.79
    },
    ""3m"": {
      ""ret"": 0.03,
      ""price"": 490.23
    }
  }
}"
