timestamp,raw_response
2025-09-01 14:49:20,"{
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": null,
    ""open"": null,
    ""high"": null,
    ""low"": null,
    ""close"": null,
    ""volume"": null
  },
  ""support"": 316.0,
  ""resistance"": 323.7,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 316.45,
    ""ma_slow"": 316.45
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent daily candles show consolidation near support and resistance levels."",
    ""Recent indicator momentum remains neutral with minimal divergence."",
    ""Price remains within Bollinger Bands, indicating low volatility.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.001,
      ""price"": 321.7
    },
    ""1w"": {
      ""ret"": 0.005,
      ""price"": 323.0
    },
    ""3m"": {
      ""ret"": 0.015,
      ""price"": 326.0
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 321.7,
      ""ret"": 0.001
    },
    ""1w"": {
      ""time"": null,
      ""price"": 323.0,
      ""ret"": 0.005
    },
    ""3m"": {
      ""time"": null,
      ""price"": 326.0,
      ""ret"": 0.015
    }
  }
}"
2025-09-02 11:08:20,"{
  ""reason"": [
    ""Recent daily candles show a slight upward momentum with higher closes and MACD histogram positive."",
    ""Support remains at 316.0, but recent price action suggests potential for a short-term move upwards."",
    ""Bollinger bands are tight, indicating low volatility but potential breakout in either direction."",
    ""ADX remains below threshold, indicating a non-trending consolidation phase.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:05:00+00:00"",
    ""open"": 323.55,
    ""high"": 323.55,
    ""low"": 323.35,
    ""close"": 323.4,
    ""volume"": 32679
  },
  ""support"": 316.0,
  ""resistance"": 323.7,
  ""support_realtime"": null,
  ""resistance_realtime"": null,
  ""support_1d"": null,
  ""resistance_1d"": null,
  ""support_1w"": null,
  ""resistance_1w"": null,
  ""support_3m"": null,
  ""resistance_3m"": null,
  ""sr_range_pct_realtime"": null,
  ""sr_range_pct_1d"": null,
  ""sr_range_pct_1w"": null,
  ""sr_range_pct_3m"": null,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 319.888,
    ""ma_slow"": 319.888
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent daily candles show a slight upward momentum with higher closes and MACD histogram positive."",
    ""Support remains at 316.0, but recent price action suggests potential for a short-term move upwards."",
    ""Bollinger bands are tight, indicating low volatility but potential breakout in either direction."",
    ""ADX remains below threshold, indicating a non-trending consolidation phase.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0
    }
  }
}"
2025-09-02 11:17:03,"{
  ""reason"": [
    ""Recent intraday data shows a stable close around 323.55 with low volatility and no significant breakout signals."",
    ""Support remains at 320.35, resistance at 331.35, with no recent breach indicating consolidation."",
    ""Bollinger bands are tight, suggesting low volatility but no imminent breakout."",
    ""ADX remains below threshold, indicating a non-trending, sideways market.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:07:00+00:00"",
    ""open"": 323.4,
    ""high"": 323.45,
    ""low"": 323.35,
    ""close"": 323.45,
    ""volume"": 56391
  },
  ""support"": 320.35,
  ""resistance"": 331.35,
  ""support_realtime"": 320.3,
  ""resistance_realtime"": 323.75,
  ""support_1d"": 320.35,
  ""resistance_1d"": 331.35,
  ""support_1w"": 305.55,
  ""resistance_1w"": 331.35,
  ""support_3m"": 223.2,
  ""resistance_3m"": 331.35,
  ""sr_range_pct_realtime"": 1.0668,
  ""sr_range_pct_1d"": 3.4014,
  ""sr_range_pct_1w"": 7.9777,
  ""sr_range_pct_3m"": 33.4416,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 319.888,
    ""ma_slow"": 319.888
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 11:08:20"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 3.4014
}"
2025-09-02 11:25:45,"{
  ""reason"": [
    ""Recent intraday momentum shows a slight upward drift with the close at 322.75, maintaining support at 320.35 and resistance at 331.35, indicating a sideways trend with mild bullish bias."",
    ""The Bollinger bands remain tight around 323.47 mid-price, suggesting low volatility but no breakout signals yet."",
    ""ADX continues below threshold at 28.57, indicating a non-trending, consolidating market."",
    ""Moving averages are flat around 321.02, reinforcing the sideways market outlook.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0,
      ""method"": ""llm_v1""
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0,
      ""method"": ""llm_v1""
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0,
      ""method"": ""llm_v1""
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:16:00+00:00"",
    ""open"": 323.55,
    ""high"": 323.55,
    ""low"": 323.45,
    ""close"": 323.55,
    ""volume"": 23422
  },
  ""support"": 320.35,
  ""resistance"": 331.35,
  ""support_realtime"": 320.3,
  ""resistance_realtime"": 323.9,
  ""support_1d"": 320.35,
  ""resistance_1d"": 331.35,
  ""support_1w"": 305.55,
  ""resistance_1w"": 331.35,
  ""support_3m"": 223.2,
  ""resistance_3m"": 331.35,
  ""sr_range_pct_realtime"": 1.1127,
  ""sr_range_pct_1d"": 3.3998,
  ""sr_range_pct_1w"": 7.974,
  ""sr_range_pct_3m"": 33.4261,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 319.888,
    ""ma_slow"": 319.888
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  }
}"
2025-09-02 11:34:22,"{
  ""reason"": [
    ""Recent intraday momentum shows a slight downward drift with the close at 322.3, slightly below support at 320.35, indicating potential weakness."",
    ""The Bollinger bands are very tight around 322.905 mid-price, suggesting low volatility but no clear breakout signal."",
    ""ADX remains below threshold at 43.69, indicating a non-trending, consolidating market."",
    ""Moving averages are flat around 321.425, reinforcing the sideways market outlook.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0,
      ""method"": ""llm_v1""
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0,
      ""method"": ""llm_v1""
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0,
      ""method"": ""llm_v1""
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:24:00+00:00"",
    ""open"": 322.7,
    ""high"": 322.75,
    ""low"": 322.1,
    ""close"": 322.2,
    ""volume"": 184756
  },
  ""support"": 320.35,
  ""resistance"": 331.35,
  ""support_realtime"": 320.4,
  ""resistance_realtime"": 323.9,
  ""support_1d"": 320.35,
  ""resistance_1d"": 331.35,
  ""support_1w"": 305.55,
  ""resistance_1w"": 331.35,
  ""support_3m"": 223.2,
  ""resistance_3m"": 331.35,
  ""sr_range_pct_realtime"": 1.0844,
  ""sr_range_pct_1d"": 3.4082,
  ""sr_range_pct_1w"": 7.9938,
  ""sr_range_pct_3m"": 33.5089,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 321.425,
    ""ma_slow"": 321.425
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 11:25:45"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 3.4082
}"
2025-09-02 11:43:38,"{
  ""reason"": [
    ""Recent intraday momentum remains neutral with minimal change in close at 322.45, indicating lack of strong directional bias."",
    ""The Bollinger bands are extremely tight around 322.2075 mid-price, suggesting very low volatility and no imminent breakout."",
    ""ADX remains below threshold at 43.69, confirming a non-trending, consolidating market environment."",
    ""Moving averages are flat around 321.8085, reinforcing the sideways market outlook.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:33:00+00:00"",
    ""open"": 322.0,
    ""high"": 322.05,
    ""low"": 321.75,
    ""close"": 321.85,
    ""volume"": 215404
  },
  ""support"": 320.35,
  ""resistance"": 331.35,
  ""support_realtime"": 321.5,
  ""resistance_realtime"": 323.9,
  ""support_1d"": 320.35,
  ""resistance_1d"": 331.35,
  ""support_1w"": 305.55,
  ""resistance_1w"": 331.35,
  ""support_3m"": 223.2,
  ""resistance_3m"": 331.35,
  ""sr_range_pct_realtime"": 0.7446,
  ""sr_range_pct_1d"": 3.413,
  ""sr_range_pct_1w"": 8.005,
  ""sr_range_pct_3m"": 33.5557,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 321.425,
    ""ma_slow"": 321.425
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 11:34:22"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 3.413
}"
2025-09-02 11:52:38,"{
  ""reason"": [
    ""Recent intraday momentum remains neutral with minimal change in close at 322.45, indicating lack of strong directional bias."",
    ""The Bollinger bands are extremely tight around 322.285 mid-price, suggesting very low volatility and no imminent breakout."",
    ""ADX remains below threshold at 29.5, confirming a non-trending, consolidating market environment."",
    ""Moving averages are flat around 322.145, reinforcing the sideways market outlook.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:42:00+00:00"",
    ""open"": 322.45,
    ""high"": 322.55,
    ""low"": 322.3,
    ""close"": 322.55,
    ""volume"": 540056
  },
  ""support"": 320.35,
  ""resistance"": 331.35,
  ""support_realtime"": 321.55,
  ""resistance_realtime"": 323.9,
  ""support_1d"": 320.35,
  ""resistance_1d"": 331.35,
  ""support_1w"": 305.55,
  ""resistance_1w"": 331.35,
  ""support_3m"": 223.2,
  ""resistance_3m"": 331.35,
  ""sr_range_pct_realtime"": 0.7288,
  ""sr_range_pct_1d"": 3.4114,
  ""sr_range_pct_1w"": 8.0012,
  ""sr_range_pct_3m"": 33.5401,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 322.145,
    ""ma_slow"": 322.145
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 11:43:38"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 3.4114
}"
2025-09-02 12:01:29,"{
  ""reason"": [
    ""Recent intraday momentum remains neutral with minimal change in close at 322.8, indicating lack of strong directional bias."",
    ""The Bollinger bands are extremely tight around 322.5775 mid-price, suggesting very low volatility and no imminent breakout."",
    ""ADX remains below threshold at 39.8, confirming a non-trending, consolidating market environment."",
    ""Moving averages are flat around 322.328, reinforcing the sideways market outlook.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:51:00+00:00"",
    ""open"": 322.45,
    ""high"": 322.5,
    ""low"": 322.4,
    ""close"": 322.5,
    ""volume"": 77146
  },
  ""support"": 320.35,
  ""resistance"": 331.35,
  ""support_realtime"": 321.55,
  ""resistance_realtime"": 323.9,
  ""support_1d"": 320.35,
  ""resistance_1d"": 331.35,
  ""support_1w"": 305.55,
  ""resistance_1w"": 331.35,
  ""support_3m"": 223.2,
  ""resistance_3m"": 331.35,
  ""sr_range_pct_realtime"": 0.7288,
  ""sr_range_pct_1d"": 3.4114,
  ""sr_range_pct_1w"": 8.0012,
  ""sr_range_pct_3m"": 33.5401,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 322.145,
    ""ma_slow"": 322.145
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 11:52:38"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 3.4114
}"
2025-09-02 12:10:01,"{
  ""reason"": [
    ""Recent intraday momentum remains neutral with minimal change in close at 323.6, indicating lack of strong directional bias."",
    ""The Bollinger bands are extremely tight around 322.89 mid-price, suggesting very low volatility and no imminent breakout."",
    ""ADX remains below threshold at 17.1, confirming a non-trending, consolidating market environment."",
    ""Moving averages are flat around 322.56, reinforcing the sideways market outlook.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0,
      ""method"": ""llm_v1""
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0,
      ""method"": ""llm_v1""
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0,
      ""method"": ""llm_v1""
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 12:00:00+00:00"",
    ""open"": 322.8,
    ""high"": 322.8,
    ""low"": 322.75,
    ""close"": 322.8,
    ""volume"": 34081
  },
  ""support"": 320.35,
  ""resistance"": 331.35,
  ""support_realtime"": 321.55,
  ""resistance_realtime"": 323.9,
  ""support_1d"": 320.35,
  ""resistance_1d"": 331.35,
  ""support_1w"": 305.55,
  ""resistance_1w"": 331.35,
  ""support_3m"": 223.2,
  ""resistance_3m"": 331.35,
  ""sr_range_pct_realtime"": 0.728,
  ""sr_range_pct_1d"": 3.4077,
  ""sr_range_pct_1w"": 7.9926,
  ""sr_range_pct_3m"": 33.5037,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 322.145,
    ""ma_slow"": 322.145
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 12:01:29"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 3.4077
}"
2025-09-02 12:18:55,"{
  ""reason"": [
    ""Recent intraday momentum remains neutral with minimal change in close at 323.2, indicating lack of strong directional bias."",
    ""The Bollinger bands are extremely tight around 323.24 mid-price, suggesting very low volatility and no imminent breakout."",
    ""ADX remains below threshold at 18.08, confirming a non-trending, consolidating market environment."",
    ""Moving averages are flat around 322.73, reinforcing the sideways market outlook.""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.003,
      ""price"": 324.0
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 328.0
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 334.0
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 324.0,
      ""ret"": 0.003
    },
    ""1w"": {
      ""time"": null,
      ""price"": 328.0,
      ""ret"": 0.012
    },
    ""3m"": {
      ""time"": null,
      ""price"": 334.0,
      ""ret"": 0.045
    }
  },
  ""stock_code"": ""ETERNAL"",
  ""instrument_token"": 1304833,
  ""ohlcv"": {
    ""time"": ""2025-09-02 12:09:00+00:00"",
    ""open"": 323.6,
    ""high"": 323.6,
    ""low"": 323.2,
    ""close"": 323.3,
    ""volume"": 113767
  },
  ""support"": 320.35,
  ""resistance"": 331.35,
  ""support_realtime"": 321.55,
  ""resistance_realtime"": 323.9,
  ""support_1d"": 320.35,
  ""resistance_1d"": 331.35,
  ""support_1w"": 305.55,
  ""resistance_1w"": 331.35,
  ""support_3m"": 223.2,
  ""resistance_3m"": 331.35,
  ""sr_range_pct_realtime"": 0.7262,
  ""sr_range_pct_1d"": 3.3993,
  ""sr_range_pct_1w"": 7.9728,
  ""sr_range_pct_3m"": 33.4209,
  ""volume_threshold"": 15000,
  ""bollinger"": {
    ""mid_price"": 316.45,
    ""upper_band"": 316.55,
    ""lower_band"": 316.35
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 322.729,
    ""ma_slow"": 322.729
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 12:10:01"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 3.3993
}"
