timestamp,raw_response
2025-08-19 13:26:58,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""support"": 410.0,
  ""resistance"": 440.5,
  ""volume_threshold"": 5000000,
  ""bollinger"": {
    ""mid_price"": 429.8,
    ""upper_band"": 430.32,
    ""lower_band"": 429.28
  },
  ""macd"": {
    ""signal_line"": 0.1395,
    ""histogram"": 0.0282,
    ""ma_fast"": 429.88,
    ""ma_slow"": 0.0,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to 440.5 based on recent high on 2025-08-14 indicating a new resistance level."",
    ""Bollinger Bands adjusted to recent 1-minute data showing consolidation around 429.8 with narrow band width."",
    ""MACD histogram positive but small, reflecting mild bullish momentum in recent candles."",
    ""Support retained at 410.0 as recent lows have not breached this level in last year."",
    ""Volume threshold unchanged due to consistent trading volumes without significant spikes."",
    ""MACD signal line updated to reflect recent increase in momentum from latest 1-minute data.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:31:11,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""support"": 410.0,
  ""resistance"": 440.5,
  ""volume_threshold"": 5000000,
  ""bollinger"": {
    ""mid_price"": 429.8,
    ""upper_band"": 430.32,
    ""lower_band"": 429.28
  },
  ""macd"": {
    ""signal_line"": 0.1395,
    ""histogram"": 0.0282,
    ""ma_fast"": 429.88,
    ""ma_slow"": 0.0,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance retained at 440.5 as recent high on 2025-08-14 remains the key resistance level."",
    ""Support retained at 410.0 as recent lows have not breached this level in last year."",
    ""Bollinger Bands parameters retained as recent 1-minute data shows consolidation around 429.8 with narrow band width."",
    ""MACD signal line and histogram values retained reflecting mild bullish momentum consistent with recent data."",
    ""Volume threshold unchanged due to consistent trading volumes without significant spikes."",
    ""ADX threshold and period retained as ADX remains stable around 20 indicating moderate trend strength.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:37:07,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""support"": 410.0,
  ""resistance"": 440.5,
  ""volume_threshold"": 5000000,
  ""bollinger"": {
    ""mid_price"": 429.8,
    ""upper_band"": 430.32,
    ""lower_band"": 429.28
  },
  ""macd"": {
    ""signal_line"": 0.1395,
    ""histogram"": 0.0282,
    ""ma_fast"": 429.88,
    ""ma_slow"": 0.0,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance retained at 440.5 as recent high on 2025-08-14 remains the key resistance level."",
    ""Support retained at 410.0 as recent lows have not breached this level in last year."",
    ""Bollinger Bands parameters retained as recent 1-minute data shows consolidation around 429.8 with narrow band width."",
    ""MACD signal line and histogram values retained reflecting mild bullish momentum consistent with recent data."",
    ""Volume threshold unchanged due to consistent trading volumes without significant spikes."",
    ""ADX threshold and period retained as ADX remains stable around 20 indicating moderate trend strength.""
  ],
  ""last_updated"": ""2025-08-19 13:35:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:18:05,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""support"": 410.0,
  ""resistance"": 435.0,
  ""volume_threshold"": 5000000,
  ""bollinger"": {
    ""mid_price"": 429.2,
    ""upper_band"": 431.1,
    ""lower_band"": 427.9
  },
  ""macd"": {
    ""signal_line"": 0.0323,
    ""histogram"": -0.20,
    ""ma_fast"": 429.21,
    ""ma_slow"": 0.0,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands adjusted to recent 1-minute data showing mid price at 429.2 with upper band at 431.1 and lower band at 427.9 reflecting current price consolidation."",
    ""MACD histogram updated to negative (-0.20) based on recent 1-minute data indicating short-term bearish momentum."",
    ""Support and resistance levels retained as recent price action remains within these bounds without significant breakout or breakdown."",
    ""Volume threshold unchanged due to consistent trading volumes without major spikes in recent data.""
  ],
  ""last_updated"": ""2025-08-19 15:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:22:33,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""support"": 410.0,
  ""resistance"": 435.0,
  ""volume_threshold"": 5000000,
  ""bollinger"": {
    ""mid_price"": 429.2,
    ""upper_band"": 431.1,
    ""lower_band"": 427.9
  },
  ""macd"": {
    ""signal_line"": 0.0323,
    ""histogram"": -0.2,
    ""ma_fast"": 429.21,
    ""ma_slow"": 0.0,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands adjusted to recent 1-minute data showing mid price at 429.2 with upper band at 431.1 and lower band at 427.9 reflecting current price consolidation."",
    ""MACD histogram updated to negative (-0.20) based on recent 1-minute data indicating short-term bearish momentum."",
    ""Support and resistance levels retained as recent price action remains within these bounds without significant breakout or breakdown."",
    ""Volume threshold unchanged due to consistent trading volumes without major spikes in recent data.""
  ],
  ""last_updated"": ""2025-08-19 15:30:00"",
  ""signal"": ""Hold""
}"
2025-09-01 14:49:00,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""ohlcv"": {
    ""time"": ""2025-09-01T14:44:00+00:00"",
    ""open"": 429.55,
    ""high"": 430.5,
    ""low"": 429.55,
    ""close"": 430.1,
    ""volume"": 5009
  },
  ""support"": 427.8,
  ""resistance"": 431.75,
  ""volume_threshold"": 7586,
  ""bollinger"": {
    ""mid_price"": 429.59,
    ""upper_band"": 431.01,
    ""lower_band"": 428.17
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support and resistance to recent 20-day low and high from recent data (427.8 and 431.75)"",
    ""Refreshed Bollinger Bands from recent data (mid 429.59, upper 431.01, lower 428.17)"",
    ""Latest close price 430.1 above mid Bollinger and near resistance, indicating slight bullish momentum"",
    ""ADX near threshold (~18.3) suggests moderate trend strength"",
    ""Volume below threshold, so no strong volume confirmation""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.004,
      ""price"": 431.82
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 435.22
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 449.55
    }
  }
}"
2025-09-02 11:07:57,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""ohlcv"": {
    ""time"": ""2025-09-02T11:04:00+00:00"",
    ""open"": 436.7,
    ""high"": 437.0,
    ""low"": 436.65,
    ""close"": 436.75,
    ""volume"": 1145
  },
  ""support"": 426.82,
  ""resistance"": 439.7,
  ""support_realtime"": null,
  ""resistance_realtime"": null,
  ""support_1d"": null,
  ""resistance_1d"": null,
  ""support_1w"": null,
  ""resistance_1w"": null,
  ""support_3m"": null,
  ""resistance_3m"": null,
  ""sr_range_pct_realtime"": null,
  ""sr_range_pct_1d"": null,
  ""sr_range_pct_1w"": null,
  ""sr_range_pct_3m"": null,
  ""volume_threshold"": 7586,
  ""bollinger"": {
    ""mid_price"": 436.06,
    ""upper_band"": 437.12,
    ""lower_band"": 434.76
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated resistance to 439.7 based on recent historical high on 2025-08-18"",
    ""Refreshed Bollinger Bands to recent values from 2025-09-02 data"",
    ""Latest close price updated to 436.75 from recent 1-min data"",
    ""Volume threshold unchanged due to no significant volume spike"",
    ""Signal remains 'No Action' due to ADX below threshold and neutral MACD histogram"",
    ""Predicted targets estimated using recent momentum and historical volatility""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.004,
      ""price"": 438.44
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 443.30
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 455.42
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 438.44,
      ""ret"": 0.004
    },
    ""1w"": {
      ""time"": null,
      ""price"": 443.30,
      ""ret"": 0.015
    },
    ""3m"": {
      ""time"": null,
      ""price"": 455.42,
      ""ret"": 0.045
    }
  }
}"
2025-09-02 11:16:42,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:13:00+00:00"",
    ""open"": 437.55,
    ""high"": 438.35,
    ""low"": 437.55,
    ""close"": 437.75,
    ""volume"": 7380
  },
  ""support"": 417.9,
  ""resistance"": 439.7,
  ""support_realtime"": 431.2,
  ""resistance_realtime"": 438.52,
  ""support_1d"": 417.9,
  ""resistance_1d"": 439.7,
  ""support_1w"": 411.85,
  ""resistance_1w"": 446.0,
  ""support_3m"": 351.1,
  ""resistance_3m"": 472.4,
  ""sr_range_pct_realtime"": 1.328,
  ""sr_range_pct_1d"": 4.974,
  ""sr_range_pct_1w"": 7.8191,
  ""sr_range_pct_3m"": 27.7733,
  ""volume_threshold"": 7586,
  ""bollinger"": {
    ""mid_price"": 436.85,
    ""upper_band"": 438.52,
    ""lower_band"": 435.18
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated resistance to 439.7 based on recent historical high on 2025-08-18"",
    ""Refreshed Bollinger Bands to recent values from 2025-09-02 11:13 data"",
    ""Latest close price updated to 437.75 from recent 1-min data"",
    ""Volume threshold unchanged due to no significant volume spike"",
    ""Signal remains 'No Action' due to ADX below threshold and neutral MACD histogram"",
    ""Predicted targets estimated using recent momentum and historical volatility""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.004,
      ""price"": 439.42
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 444.31
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 456.42
    }
  }
}"
2025-09-02 11:25:23,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:15:00+00:00"",
    ""open"": 439.85,
    ""high"": 441.8,
    ""low"": 439.6,
    ""close"": 439.3,
    ""volume"": 5929
  },
  ""support"": 417.9,
  ""resistance"": 439.7,
  ""support_realtime"": 431.35,
  ""resistance_realtime"": 442.1,
  ""support_1d"": 417.9,
  ""resistance_1d"": 430.8,
  ""support_1w"": 411.85,
  ""resistance_1w"": 446.0,
  ""support_3m"": 351.1,
  ""resistance_3m"": 472.4,
  ""sr_range_pct_realtime"": 2.4557,
  ""sr_range_pct_1d"": 2.9469,
  ""sr_range_pct_1w"": 7.8013,
  ""sr_range_pct_3m"": 27.7099,
  ""volume_threshold"": 7586,
  ""bollinger"": {
    ""mid_price"": 438.5775,
    ""upper_band"": 441.88665019302516,
    ""lower_band"": 435.2683498069748
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated resistance to 439.7 based on recent historical high on 2025-08-18"",
    ""Refreshed Bollinger Bands to recent values from 2025-09-02 11:22 data"",
    ""Latest close price updated to 439.3 from recent 1-min data"",
    ""Volume threshold unchanged due to no significant volume spike"",
    ""Signal remains 'No Action' due to ADX below threshold and neutral MACD histogram"",
    ""Predicted targets estimated using recent momentum and historical volatility""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.004,
      ""price"": 440.98
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 445.89
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 458.29
    }
  }
}"
2025-09-02 11:33:57,"{
  ""stock_code"": ""GMDCLTD"",
  ""instrument_token"": 1332225,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:30:00+00:00"",
    ""open"": 438.65,
    ""high"": 438.7,
    ""low"": 438.15,
    ""close"": 438.25,
    ""volume"": 1685
  },
  ""support"": 417.9,
  ""resistance"": 442.3,
  ""support_realtime"": 433.85,
  ""resistance_realtime"": 442.3,
  ""support_1d"": 417.9,
  ""resistance_1d"": 430.8,
  ""support_1w"": 411.85,
  ""resistance_1w"": 446.0,
  ""support_3m"": 351.1,
  ""resistance_3m"": 472.4,
  ""sr_range_pct_realtime"": 1.9235,
  ""sr_range_pct_1d"": 2.9365,
  ""sr_range_pct_1w"": 7.7737,
  ""sr_range_pct_3m"": 27.6121,
  ""volume_threshold"": 7586,
  ""bollinger"": {
    ""mid_price"": 439.28,
    ""upper_band"": 441.5333086783641,
    ""lower_band"": 437.02669132163595
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated latest ohlcv to 2025-09-02 11:30 with close 438.25 from recent 1-min data"",
    ""Adjusted resistance to 442.3 matching recent realtime resistance and upper Bollinger Band"",
    ""Refreshed Bollinger Bands to recent 1-min indicator values"",
    ""Volume threshold unchanged due to no significant volume spike"",
    ""Signal remains 'No Action' due to ADX below threshold and weak MACD histogram"",
    ""Predicted targets estimated using recent close and moderate positive momentum""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.004,
      ""price"": 439.92
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 444.82
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 457.37
    }
  }
}"
