timestamp,raw_response
2025-08-19 13:25:54,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""support"": 1250.0,
  ""resistance"": 1315.0,
  ""volume_threshold"": 1100000,
  ""bollinger"": {
    ""mid_price"": 1288.01,
    ""upper_band"": 1289.20816526406,
    ""lower_band"": 1286.81183473594
  },
  ""macd"": {
    ""signal_line"": 0.009238895261759333,
    ""histogram"": 0.08459670913511311,
    ""ma_fast"": 1288.0111111111112,
    ""ma_slow"": 1288.01,
    ""ma_signal"": 0.09383560439687244
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 21.44
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute candle values indicating tighter range near 1288."",
    ""MACD parameters updated to positive histogram and signal line values showing improving momentum."",
    ""ADX threshold increased slightly to 21.44 based on recent ADX value indicating strengthening trend."",
    ""Support and resistance levels retained as recent price action remains within previous range."",
    ""Volume threshold unchanged due to low recent volume in 1-minute candles and no significant volume spikes."",
    ""Signal changed to Buy due to improving momentum and ADX above threshold indicating potential upward breakout.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Buy""
}"
2025-08-19 13:30:04,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""support"": 1250.0,
  ""resistance"": 1315.0,
  ""volume_threshold"": 1100000,
  ""bollinger"": {
    ""mid_price"": 1288.01,
    ""upper_band"": 1289.20816526406,
    ""lower_band"": 1286.81183473594
  },
  ""macd"": {
    ""signal_line"": 0.009238895261759333,
    ""histogram"": 0.08459670913511311,
    ""ma_fast"": 1288.0111111111112,
    ""ma_slow"": 1288.01,
    ""ma_signal"": 0.09383560439687244
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 21.44
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""No significant breakout or breakdown in recent 1-minute candles; price remains within historical support and resistance."",
    ""Volume remains low in recent data; no adjustment to volume threshold justified."",
    ""Bollinger Bands, MACD, and ADX parameters remain consistent with recent momentum and trend strength."",
    ""Support and resistance levels retained as recent price action remains within previous range."",
    ""Signal maintained as Buy due to improving momentum and ADX above threshold indicating potential upward breakout.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Buy""
}"
2025-08-19 13:35:56,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""support"": 1250.0,
  ""resistance"": 1315.0,
  ""volume_threshold"": 1100000,
  ""bollinger"": {
    ""mid_price"": 1288.01,
    ""upper_band"": 1289.20816526406,
    ""lower_band"": 1286.81183473594
  },
  ""macd"": {
    ""signal_line"": 0.009238895261759333,
    ""histogram"": 0.08459670913511311,
    ""ma_fast"": 1288.0111111111112,
    ""ma_slow"": 1288.01,
    ""ma_signal"": 0.09383560439687244
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 21.44
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""No significant breakout or breakdown in recent 1-minute candles; price remains within historical support and resistance."",
    ""Volume remains low in recent data; no adjustment to volume threshold justified."",
    ""Bollinger Bands, MACD, and ADX parameters remain consistent with recent momentum and trend strength."",
    ""Support and resistance levels retained as recent price action remains within previous range."",
    ""Signal maintained as Buy due to improving momentum and ADX above threshold indicating potential upward breakout.""
  ],
  ""last_updated"": ""2025-08-19 13:35:00"",
  ""signal"": ""Buy""
}"
2025-08-19 13:55:11,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""support"": 1286.4,
  ""resistance"": 1292.1,
  ""volume_threshold"": 1100000,
  ""bollinger"": {
    ""mid_price"": 1289.26,
    ""upper_band"": 1292.13,
    ""lower_band"": 1286.40
  },
  ""macd"": {
    ""signal_line"": 0.54399,
    ""histogram"": 0.3905,
    ""ma_fast"": 1290.43,
    ""ma_slow"": 1289.26,
    ""ma_signal"": 0.93449
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 14.04
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent 1-minute candles show price breaking above previous resistance near 1292, justifying resistance update."",
    ""Support updated to recent lower Bollinger Band level reflecting short-term price floor."",
    ""ADX threshold lowered from 21.44 to 14.04 due to recent ADX decline indicating weaker trend strength."",
    ""MACD histogram and signal line values updated to reflect recent momentum changes."",
    ""Volume remains below threshold; no change to volume threshold."",
    ""Signal changed to Hold as breakout is marginal and ADX indicates weakening trend strength.""
  ],
  ""last_updated"": ""2025-08-19 14:00:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:16:55,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""support"": 1250.0,
  ""resistance"": 1315.0,
  ""volume_threshold"": 1100000,
  ""bollinger"": {
    ""mid_price"": 1290.7050000000002,
    ""upper_band"": 1293.9190161791746,
    ""lower_band"": 1287.4909838208257
  },
  ""macd"": {
    ""signal_line"": 0.9747802938382268,
    ""histogram"": 0.05082142997431549,
    ""ma_fast"": 1292.1888888888889,
    ""ma_slow"": 1290.7050000000002,
    ""ma_signal"": 0.9747802938382268
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute candle values showing tighter range near 1290.7 mid price."",
    ""MACD parameters updated to positive histogram and signal line indicating slight bullish momentum in recent minutes."",
    ""Support and resistance levels unchanged as recent price action remains within historical range without breakout."",
    ""Volume threshold unchanged due to low volume in recent 1-minute candles not justifying adjustment."",
    ""Signal updated to Hold due to consolidation near mid Bollinger Band with mild positive MACD momentum but no breakout.""
  ],
  ""last_updated"": ""2025-08-19 15:20:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:21:26,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""support"": 1250.0,
  ""resistance"": 1315.0,
  ""volume_threshold"": 1100000,
  ""bollinger"": {
    ""mid_price"": 1290.7050000000002,
    ""upper_band"": 1293.9190161791746,
    ""lower_band"": 1287.4909838208257
  },
  ""macd"": {
    ""signal_line"": 0.9747802938382268,
    ""histogram"": 0.05082142997431549,
    ""ma_fast"": 1292.1888888888889,
    ""ma_slow"": 1290.7050000000002,
    ""ma_signal"": 0.9747802938382268
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""No significant breakout or breakdown in recent 1-minute candles; price remains within historical support and resistance."",
    ""Volume in recent candles remains below threshold; no adjustment to volume threshold justified."",
    ""MACD histogram remains slightly positive, indicating mild bullish momentum but no strong signal for change."",
    ""ADX remains above threshold indicating trend presence but no directional change to adjust parameters."",
    ""Bollinger Bands remain consistent with recent price action; no update needed."",
    ""Signal remains Hold due to consolidation and absence of strong directional cues.""
  ],
  ""last_updated"": ""2025-08-19 15:20:00"",
  ""signal"": ""Hold""
}"
2025-08-22 12:12:25,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""support"": 1274.11,
  ""resistance"": 1297.93,
  ""volume_threshold"": 1525,
  ""bollinger"": {
    ""mid_price"": 1286.02,
    ""upper_band"": 1297.93,
    ""lower_band"": 1274.11
  },
  ""macd"": {
    ""signal_line"": 0.9747802938382268,
    ""histogram"": 0.05082142997431549,
    ""ma_fast"": 1292.1888888888889,
    ""ma_slow"": 1290.7050000000002,
    ""ma_signal"": 0.9747802938382268
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent 1-minute candles show price consolidating near support without breakout above resistance"",
    ""ADX remains stable around 28 indicating no strong trend change"",
    ""MACD histogram slightly negative recently indicating weakening momentum"",
    ""No significant volume increase to justify changing volume threshold"",
    ""No breakout or breakdown in recent data to justify updating support or resistance""
  ],
  ""last_updated"": ""2025-08-22 12:15:00"",
  ""signal"": ""Hold"",
  ""forecast"": ""basic_algo""
}"
2025-09-01 14:46:59,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""ohlcv"": {
    ""time"": ""2025-09-01T14:43:00+00:00"",
    ""open"": 1222.3,
    ""high"": 1224.3,
    ""low"": 1222.3,
    ""close"": 1224.3,
    ""volume"": 668
  },
  ""support"": 1212.37,
  ""resistance"": 1283.5,
  ""volume_threshold"": 668,
  ""bollinger"": {
    ""mid_price"": 1218.66,
    ""upper_band"": 1224.94,
    ""lower_band"": 1212.37
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Price dropped below previous support 1275.34, new support adjusted to Bollinger lower band 1212.37."",
    ""Volume threshold updated to recent minute volume 668 due to increased activity."",
    ""Bollinger bands narrowed, mid price and bands updated to recent values indicating lower volatility."",
    ""ADX remains above threshold indicating trend strength, no change."",
    ""Signal changed from 'Potential Breakdown' to 'No Action' due to price stabilizing near new support and low momentum in recent MACD histogram.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.002,
      ""price"": 1226.75
    },
    ""1w"": {
      ""ret"": 0.01,
      ""price"": 1236.54
    },
    ""3m"": {
      ""ret"": 0.035,
      ""price"": 1267.15
    }
  }
}"
2025-09-01 14:55:02,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""ohlcv"": {
    ""time"": ""2025-09-01 14:51:00+00:00"",
    ""open"": 1229.1,
    ""high"": 1229.7,
    ""low"": 1227.7,
    ""close"": 1227.8,
    ""volume"": 310
  },
  ""support"": 1209.55,
  ""resistance"": 1235.0,
  ""volume_threshold"": 668,
  ""bollinger"": {
    ""mid_price"": 1222.21,
    ""upper_band"": 1234.87,
    ""lower_band"": 1209.55
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated latest OHLCV from recent 1-minute data for accuracy."",
    ""Support adjusted slightly lower to recent Bollinger lower band 1209.55 reflecting current volatility."",
    ""Resistance set near recent upper Bollinger band 1234.87 indicating potential upside cap."",
    ""Volume threshold retained at 668 due to stable recent volume levels."",
    ""Signal remains 'No Action' as price stabilizes near support with low momentum and ADX below threshold.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.002,
      ""price"": 1230.25
    },
    ""1w"": {
      ""ret"": 0.01,
      ""price"": 1240.08
    },
    ""3m"": {
      ""ret"": 0.035,
      ""price"": 1272.77
    }
  }
}"
2025-09-01 15:01:36,"{
  ""stock_code"": ""KAJARIACER"",
  ""instrument_token"": 462849,
  ""ohlcv"": {
    ""time"": ""2025-09-01 14:53:00+00:00"",
    ""open"": 1228.9,
    ""high"": 1229.0,
    ""low"": 1228.0,
    ""close"": 1229.0,
    ""volume"": 398
  },
  ""support"": 1209.55,
  ""resistance"": 1235.62,
  ""volume_threshold"": 668,
  ""bollinger"": {
    ""mid_price"": 1223.68,
    ""upper_band"": 1235.62,
    ""lower_band"": 1211.74
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated latest OHLCV from recent 1-minute data for accuracy."",
    ""Resistance adjusted slightly higher to 1235.62 based on recent Bollinger upper band from 1-minute data."",
    ""Bollinger bands updated to reflect recent volatility and price levels."",
    ""Support and volume threshold retained as recent data confirms stability near these levels."",
    ""Signal remains 'No Action' due to ADX below threshold and stable price near support.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.002,
      ""price"": 1231.46
    },
    ""1w"": {
      ""ret"": 0.01,
      ""price"": 1241.29
    },
    ""3m"": {
      ""ret"": 0.035,
      ""price"": 1273.02
    }
  }
}"
