timestamp,raw_response
2025-08-19 13:28:12,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 7900.0,
  ""resistance"": 8439.5,
  ""volume_threshold"": 600000,
  ""bollinger"": {
    ""mid_price"": 8280.461538461539,
    ""upper_band"": 8286.351053766939,
    ""lower_band"": 8274.572023156139
  },
  ""macd"": {
    ""signal_line"": -0.9854600549756325,
    ""histogram"": -0.671037644078311,
    ""ma_fast"": 8279.833333333334,
    ""ma_slow"": 8280.875,
    ""ma_signal"": 8275.518928678594
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to recent 1-minute data showing mid, upper, and lower bands around 8280 indicating price consolidation near resistance."",
    ""MACD values updated to recent negative histogram and signal line indicating weakening bullish momentum."",
    ""Moving averages for MACD fast and slow adjusted to recent minute-level averages around 8280."",
    ""Support retained at 7900.0 due to stable historical consolidation without recent break below."",
    ""Resistance retained at 8439.5 based on historical highs and no breakout in recent data."",
    ""Volume threshold unchanged as recent volume remains low without significant spikes."",
    ""ADX threshold retained at 25 as recent ADX remains below indicating no strong trend.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:34:06,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 7900.0,
  ""resistance"": 8439.5,
  ""volume_threshold"": 600000,
  ""bollinger"": {
    ""mid_price"": 8282.055555555555,
    ""upper_band"": 8289.626618073744,
    ""lower_band"": 8274.484493037366
  },
  ""macd"": {
    ""signal_line"": -0.3369954336047697,
    ""histogram"": 0.5447431179600244,
    ""ma_fast"": 8282.388888888889,
    ""ma_slow"": 8282.055555555555,
    ""ma_signal"": 8275.518928678594
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to recent 1-minute data showing mid, upper, and lower bands tightened around 8282 indicating price consolidation near mid band."",
    ""MACD histogram turned positive recently with signal line less negative, indicating a potential shift to bullish momentum."",
    ""MACD moving averages updated to recent minute-level averages around 8282 reflecting current price action."",
    ""Support retained at 7900.0 due to no recent break below this level in historical or recent data."",
    ""Resistance retained at 8439.5 based on historical highs and no breakout above in recent data."",
    ""Volume threshold unchanged at 600000 as recent volume remains low without significant spikes."",
    ""ADX threshold retained at 25 as ADX remains below threshold indicating no strong trend currently."",
    ""Signal updated to 'Hold' reflecting consolidation and early signs of bullish momentum but no breakout confirmation.""
  ],
  ""last_updated"": ""2025-08-19 13:32:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:38:21,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 7900.0,
  ""resistance"": 8439.5,
  ""volume_threshold"": 600000,
  ""bollinger"": {
    ""mid_price"": 8281.775,
    ""upper_band"": 8288.813998508309,
    ""lower_band"": 8274.73600149169
  },
  ""macd"": {
    ""signal_line"": 0.007880980901367752,
    ""histogram"": -0.05293068607655589,
    ""ma_fast"": 8284.388888888889,
    ""ma_slow"": 8281.775,
    ""ma_signal"": 8281.775
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute data showing mid, upper, and lower bands tightened around 8281.775 indicating price consolidation near mid band."",
    ""MACD signal line and histogram updated to recent minute-level values showing slight negative histogram indicating weak bearish momentum but near neutral signal line."",
    ""MACD moving averages updated to recent minute-level averages around 8284.39 and 8281.78 reflecting current price action."",
    ""Support retained at 7900.0 due to no recent break below this level in historical or recent data."",
    ""Resistance retained at 8439.5 based on historical highs and no breakout above in recent data."",
    ""Volume threshold unchanged at 600000 as recent volume remains low without significant spikes."",
    ""ADX threshold retained at 25 as ADX remains below threshold indicating no strong trend currently."",
    ""Signal updated to 'Hold' reflecting consolidation and lack of strong momentum or breakout confirmation.""
  ],
  ""last_updated"": ""2025-08-19 13:37:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:53:07,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 7900.0,
  ""resistance"": 8439.5,
  ""volume_threshold"": 600000,
  ""bollinger"": {
    ""mid_price"": 8282.775,
    ""upper_band"": 8290.017064622743,
    ""lower_band"": 8275.532935377256
  },
  ""macd"": {
    ""signal_line"": 0.23500489241480976,
    ""histogram"": 0.3346652580691341,
    ""ma_fast"": 8283.777777777777,
    ""ma_slow"": 8282.775,
    ""ma_signal"": 8282.775
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to recent 1-minute data showing mid, upper, and lower bands tightened around 8282.775 indicating price consolidation near mid band."",
    ""MACD signal line and histogram updated to recent minute-level values showing positive histogram indicating slight bullish momentum."",
    ""MACD moving averages updated to recent minute-level averages around 8283.78 and 8282.78 reflecting current price action."",
    ""Support retained at 7900.0 due to no recent break below this level in historical or recent data."",
    ""Resistance retained at 8439.5 based on historical highs and no breakout above in recent data."",
    ""Volume threshold unchanged at 600000 as recent volume remains low without significant spikes."",
    ""ADX threshold retained at 25 as ADX remains below threshold indicating no strong trend currently."",
    ""Signal updated to 'Hold' reflecting consolidation and lack of strong momentum or breakout confirmation.""
  ],
  ""last_updated"": ""2025-08-19 13:51:00"",
  ""signal"": ""Hold""
}"
2025-08-19 14:44:59,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 7900.0,
  ""resistance"": 8439.5,
  ""volume_threshold"": 600000,
  ""bollinger"": {
    ""mid_price"": 8292.692388155425,
    ""upper_band"": 8439.5,
    ""lower_band"": 8274.307611844575
  },
  ""macd"": {
    ""signal_line"": 0.17638590039950483,
    ""histogram"": 0.545765528056113,
    ""ma_fast"": 8284.111111111111,
    ""ma_slow"": 8283.5,
    ""ma_signal"": 0.17638590039950483
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands mid and lower bands updated to reflect recent 1-minute candle data showing price consolidation near upper band at ~8292.69 and 8274.31."",
    ""MACD values updated to reflect recent positive histogram and signal line indicating continued bullish momentum."",
    ""Moving averages for MACD fast and slow adjusted to recent minute-level averages around 8284.11 and 8283.5 respectively."",
    ""Support retained at 7900.0 due to stable historical consolidation without recent breach."",
    ""Resistance retained at 8439.5 based on recent highs in historical data and unchanged recent upper Bollinger Band."",
    ""Volume threshold unchanged as recent volume remains low without significant spikes."",
    ""Signal line for MACD set equal to recent MACD signal for consistency.""
  ],
  ""last_updated"": ""2025-08-19 14:45:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:15:00,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 7900.0,
  ""resistance"": 8439.5,
  ""volume_threshold"": 600000,
  ""bollinger"": {
    ""mid_price"": 8285.725,
    ""upper_band"": 8297.281275351514,
    ""lower_band"": 8274.168724648487
  },
  ""macd"": {
    ""signal_line"": 0.922854077163717,
    ""histogram"": 1.7161848789328389,
    ""ma_fast"": 8287.277777777777,
    ""ma_slow"": 8285.725,
    ""ma_signal"": 0.922854077163717
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute candle data showing consolidation near upper band at ~8297.28 and lower band at ~8274.17."",
    ""MACD values updated to reflect recent positive histogram and signal line indicating short-term bullish momentum."",
    ""Moving averages for MACD fast and slow adjusted to recent minute-level averages around 8287.28 and 8285.73 respectively."",
    ""Support and resistance levels retained due to no recent breach or breakout in recent data."",
    ""Volume threshold unchanged as recent volume remains low without significant spikes."",
    ""MACD signal line set equal to recent MACD signal for consistency.""
  ],
  ""last_updated"": ""2025-08-19 15:15:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:19:21,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 7900.0,
  ""resistance"": 8439.5,
  ""volume_threshold"": 600000,
  ""bollinger"": {
    ""mid_price"": 8287.875,
    ""upper_band"": 8301.888832452258,
    ""lower_band"": 8273.861167547742
  },
  ""macd"": {
    ""signal_line"": 2.548794962765562,
    ""histogram"": 0.6589594853761516,
    ""ma_fast"": 8294.055555555555,
    ""ma_slow"": 8287.875,
    ""ma_signal"": 2.548794962765562
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Bollinger Bands updated to reflect recent 1-minute candle data showing consolidation near upper band at ~8301.89 and lower band at ~8273.86."",
    ""MACD values updated to reflect recent positive histogram and signal line indicating short-term bullish momentum."",
    ""Moving averages for MACD fast and slow adjusted to recent minute-level averages around 8294.06 and 8287.88 respectively."",
    ""Support and resistance levels retained due to no recent breach or breakout in recent data."",
    ""Volume threshold unchanged as recent volume remains low without significant spikes."",
    ""MACD signal line set equal to recent MACD signal for consistency.""
  ],
  ""last_updated"": ""2025-08-19 15:18:00"",
  ""signal"": ""Hold""
}"
2025-08-22 12:04:18,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 8031.5,
  ""resistance"": 8060.0,
  ""volume_threshold"": 2562,
  ""bollinger"": {
    ""mid_price"": 8048.35,
    ""upper_band"": 8060.0,
    ""lower_band"": 8031.5
  },
  ""macd"": {
    ""signal_line"": 6.522956771459576,
    ""histogram"": 0.6589594853761516,
    ""ma_fast"": 8294.055555555555,
    ""ma_slow"": 8287.875,
    ""ma_signal"": 6.522956771459576
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show price consolidating tightly between 8031.5 support and 8060 resistance, just inside Bollinger Bands."",
    ""Bollinger Bands narrowed slightly, mid price updated to 8048.35 reflecting recent average."",
    ""MACD histogram positive and increasing slightly in recent 1-min data, indicating mild bullish momentum."",
    ""Support and resistance updated to recent intraday lows and highs (8031.5 and 8060) from last few 1-minute candles."",
    ""Volume threshold unchanged due to no significant volume spikes in recent data.""
  ],
  ""last_updated"": ""2025-08-22 12:05:00"",
  ""signal"": ""Hold""
}"
2025-08-22 12:09:34,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""support"": 8031.5,
  ""resistance"": 8060.0,
  ""volume_threshold"": 2562,
  ""bollinger"": {
    ""mid_price"": 8048.35,
    ""upper_band"": 8060.0,
    ""lower_band"": 8031.5
  },
  ""macd"": {
    ""signal_line"": 6.522956771459576,
    ""histogram"": 0.6589594853761516,
    ""ma_fast"": 8294.055555555555,
    ""ma_slow"": 8287.875,
    ""ma_signal"": 6.522956771459576
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show price consolidating tightly between 8031.5 support and 8060 resistance, just inside Bollinger Bands."",
    ""Bollinger Bands narrowed slightly, mid price updated to 8048.35 reflecting recent average."",
    ""MACD histogram positive and increasing slightly in recent 1-min data, indicating mild bullish momentum."",
    ""Support and resistance updated to recent intraday lows and highs (8031.5 and 8060) from last few 1-minute candles."",
    ""Volume threshold unchanged due to no significant volume spikes in recent data.""
  ],
  ""last_updated"": ""2025-08-22 12:10:00"",
  ""signal"": ""Hold""
}"
2025-09-01 14:34:57,"{
  ""stock_code"": ""MCX"",
  ""instrument_token"": 7982337,
  ""ohlcv"": {
    ""time"": ""2025-09-01 11:23:00+00:00"",
    ""open"": 7760.0,
    ""high"": 7761.0,
    ""low"": 7757.5,
    ""close"": 7759.5,
    ""volume"": 3068
  },
  ""support"": 7741.5,
  ""resistance"": 7770.0,
  ""volume_threshold"": 1536,
  ""bollinger"": {
    ""mid_price"": 7757.8,
    ""upper_band"": 7765.14,
    ""lower_band"": 7750.46
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 25
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated Bollinger bands to reflect recent 1-minute data mid_price and bands"",
    ""Signal remains 'No Action' due to lack of strong directional momentum"",
    ""Recent close below historical support level but volume low, no breakout confirmed""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": -0.002,
      ""price"": 7759.5 * (1 - 0.002)
    },
    ""1w"": {
      ""ret"": 0.005,
      ""price"": 7759.5 * (1 + 0.005)
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 7759.5 * (1 + 0.02)
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 7759.5 * (1 - 0.002),
      ""ret"": -0.002
    },
    ""1w"": {
      ""time"": null,
      ""price"": 7759.5 * (1 + 0.005),
      ""ret"": 0.005
    },
    ""3m"": {
      ""time"": null,
      ""price"": 7759.5 * (1 + 0.02),
      ""ret"": 0.02
    }
  }
}"
