timestamp,raw_response
2025-08-19 13:26:47,"{
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""support"": 870.0,
  ""resistance"": 950.0,
  ""volume_threshold"": 1000000,
  ""bollinger"": {
    ""mid_price"": 900.0,
    ""upper_band"": 950.0,
    ""lower_band"": 850.0
  },
  ""macd"": {
    ""signal_line"": -0.3,
    ""histogram"": -0.1,
    ""ma_fast"": 884.0,
    ""ma_slow"": 900.0,
    ""ma_signal"": 885.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent downward trend in MACD and price movement indicates potential short-term bearishness."",
    ""Support remains at 870.0 based on recent lows, resistance unchanged."",
    ""Bollinger Bands show narrowing, indicating reduced volatility but no clear breakout."",
    ""ADX remains stable, suggesting no strong trend change.""
  ],
  ""last_updated"": ""2025-08-19 13:25:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:31:00,"{
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""support"": 870.0,
  ""resistance"": 950.0,
  ""volume_threshold"": 1000000,
  ""bollinger"": {
    ""mid_price"": 900.0,
    ""upper_band"": 950.0,
    ""lower_band"": 850.0
  },
  ""macd"": {
    ""signal_line"": -0.3,
    ""histogram"": -0.1,
    ""ma_fast"": 884.0,
    ""ma_slow"": 900.0,
    ""ma_signal"": 885.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent short-term trend shows stabilization with MACD and price consolidating near support levels."",
    ""No significant breakout signals observed in recent candles; support remains at 870.0, resistance unchanged."",
    ""Bollinger Bands remain narrow, indicating low volatility; no breakout confirmed."",
    ""ADX remains stable, suggesting no strong trend change in short-term.""
  ],
  ""last_updated"": ""2025-08-19 13:29:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:36:55,"{
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""support"": 870.0,
  ""resistance"": 950.0,
  ""volume_threshold"": 1000000,
  ""bollinger"": {
    ""mid_price"": 900.0,
    ""upper_band"": 950.0,
    ""lower_band"": 850.0
  },
  ""macd"": {
    ""signal_line"": -0.3,
    ""histogram"": -0.1,
    ""ma_fast"": 884.0,
    ""ma_slow"": 900.0,
    ""ma_signal"": 885.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent short-term trend shows slight downward movement with MACD and price near support levels."",
    ""No clear breakout signals; support remains at 870.0, resistance unchanged."",
    ""Bollinger Bands remain narrow, indicating low volatility; no breakout confirmed."",
    ""ADX remains stable, suggesting no strong trend change in short-term.""
  ],
  ""last_updated"": ""2025-08-19 13:35:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:17:53,"{
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""support"": 870.0,
  ""resistance"": 950.0,
  ""volume_threshold"": 1000000,
  ""bollinger"": {
    ""mid_price"": 900.0,
    ""upper_band"": 950.0,
    ""lower_band"": 850.0
  },
  ""macd"": {
    ""signal_line"": -0.3,
    ""histogram"": -0.1,
    ""ma_fast"": 884.0,
    ""ma_slow"": 900.0,
    ""ma_signal"": 885.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent upward breakout observed as close moved above resistance at 950.0."",
    ""Support adjusted to 870.0 based on recent lows."",
    ""Bollinger Bands updated to reflect recent price range."",
    ""MACD remains negative but shows signs of convergence, indicating potential trend reversal."",
    ""ADX remains above 20, indicating a strong trend.""
  ],
  ""last_updated"": ""2025-08-19 15:16:00"",
  ""signal"": ""Buy""
}"
2025-08-19 15:22:22,"{
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""support"": 870.0,
  ""resistance"": 950.0,
  ""volume_threshold"": 1000000,
  ""bollinger"": {
    ""mid_price"": 894.1167,
    ""upper_band"": 895.5249,
    ""lower_band"": 889.7701
  },
  ""macd"": {
    ""signal_line"": -0.049999999999954525,
    ""histogram"": 0.14999999999997726,
    ""ma_fast"": 894.1167,
    ""ma_slow"": 892.6475,
    ""ma_signal"": 894.1167
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation near support at 870.0 with no clear breakout."",
    ""No significant trend change observed in recent data."",
    ""Bollinger Bands remain tight, indicating low volatility."",
    ""MACD remains near neutral, with slight positive histogram suggesting no strong momentum."",
    ""ADX remains above 20, indicating a persistent trend but no new breakout signals.""
  ],
  ""last_updated"": ""2025-08-19 15:21:00"",
  ""signal"": ""Hold""
}"
2025-09-01 14:48:39,"{
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""ohlcv"": {
    ""time"": null,
    ""open"": null,
    ""high"": null,
    ""low"": null,
    ""close"": null,
    ""volume"": null
  },
  ""support"": 880.22,
  ""resistance"": 883.6,
  ""volume_threshold"": 1633,
  ""bollinger"": {
    ""mid_price"": 881.91,
    ""upper_band"": 883.32,
    ""lower_band"": 880.25
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent daily candles show a slight upward momentum with support near 880.22 and resistance at 883.6."",
    ""Historical data indicates a consolidation phase with Bollinger bands tight around current price, suggesting low volatility breakout potential."",
    ""Recent indicator readings (MACD, ADX, DMI) show no strong trend, supporting a 'No Action' stance.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.001,
      ""price"": 888.74
    },
    ""1w"": {
      ""ret"": 0.005,
      ""price"": 888.83
    },
    ""3m"": {
      ""ret"": 0.015,
      ""price"": 894.09
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 0,
      ""ret"": 0
    },
    ""1w"": {
      ""time"": null,
      ""price"": 0,
      ""ret"": 0
    },
    ""3m"": {
      ""time"": null,
      ""price"": 0,
      ""ret"": 0
    }
  }
}"
2025-09-02 11:07:30,"{
  ""reason"": [
    ""Price is near support level, indicating potential bounce or consolidation."",
    ""Bollinger bands are tight with low std deviation, suggesting low volatility and squeeze condition."",
    ""ADX remains below threshold, indicating weak trend strength."",
    ""Recent MACD histogram shows slight positive momentum, but overall signals are neutral."",
    ""No significant change in recent momentum or volatility to justify support/resistance update.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.001,
      ""price"": 879.5
    },
    ""1w"": {
      ""ret"": 0.005,
      ""price"": 883.4
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 898.9
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 879.5,
      ""ret"": 0.001
    },
    ""1w"": {
      ""time"": null,
      ""price"": 883.4,
      ""ret"": 0.005
    },
    ""3m"": {
      ""time"": null,
      ""price"": 898.9,
      ""ret"": 0.02
    }
  },
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""ohlcv"": {
    ""time"": null,
    ""open"": 879.0,
    ""high"": 879.5,
    ""low"": 878.75,
    ""close"": 879.5,
    ""volume"": 86
  },
  ""support"": 880.22,
  ""resistance"": 883.6,
  ""support_realtime"": null,
  ""resistance_realtime"": null,
  ""support_1d"": null,
  ""resistance_1d"": null,
  ""support_1w"": null,
  ""resistance_1w"": null,
  ""support_3m"": null,
  ""resistance_3m"": null,
  ""sr_range_pct_realtime"": null,
  ""sr_range_pct_1d"": null,
  ""sr_range_pct_1w"": null,
  ""sr_range_pct_3m"": null,
  ""volume_threshold"": 1633,
  ""bollinger"": {
    ""mid_price"": 881.91,
    ""upper_band"": 883.32,
    ""lower_band"": 880.25
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  }
}"
2025-09-02 11:16:22,"{
  ""reason"": [
    ""Price remains near support level, indicating potential for bounce or consolidation."",
    ""Bollinger bands are tight with low std deviation, suggesting low volatility and squeeze condition."",
    ""ADX remains below threshold, indicating weak trend strength."",
    ""Recent momentum indicators show slight positive bias but overall signals are neutral."",
    ""No significant change in recent momentum or volatility to justify support/resistance update.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.001,
      ""price"": 879.5,
      ""method"": ""llm_v1""
    },
    ""1w"": {
      ""ret"": 0.005,
      ""price"": 883.4,
      ""method"": ""llm_v1""
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 898.9,
      ""method"": ""llm_v1""
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 879.5,
      ""ret"": 0.001
    },
    ""1w"": {
      ""time"": null,
      ""price"": 883.4,
      ""ret"": 0.005
    },
    ""3m"": {
      ""time"": null,
      ""price"": 898.9,
      ""ret"": 0.02
    }
  },
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:06:00+00:00"",
    ""open"": 880.05,
    ""high"": 880.05,
    ""low"": 879.35,
    ""close"": 879.5,
    ""volume"": 263
  },
  ""support"": 883.05,
  ""resistance"": 894.6,
  ""support_realtime"": 864.7,
  ""resistance_realtime"": 880.05,
  ""support_1d"": 883.05,
  ""resistance_1d"": 894.6,
  ""support_1w"": 870.0,
  ""resistance_1w"": 908.75,
  ""support_3m"": 852.55,
  ""resistance_3m"": 1059.0,
  ""sr_range_pct_realtime"": 1.7453,
  ""sr_range_pct_1d"": 1.3132,
  ""sr_range_pct_1w"": 4.4059,
  ""sr_range_pct_3m"": 23.4736,
  ""volume_threshold"": 1633,
  ""bollinger"": {
    ""mid_price"": 881.91,
    ""upper_band"": 883.32,
    ""lower_band"": 880.25
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 11:07:30"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 1.3132
}"
2025-09-02 11:25:01,"{
  ""reason"": [
    ""Price remains near support level, indicating potential for bounce or consolidation."",
    ""Bollinger bands are tight with low std deviation, suggesting low volatility and squeeze condition."",
    ""ADX remains below threshold, indicating weak trend strength."",
    ""Recent momentum indicators show slight positive bias but overall signals are neutral."",
    ""No significant change in recent momentum or volatility to justify support/resistance update.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.001,
      ""price"": 880.6
    },
    ""1w"": {
      ""ret"": 0.005,
      ""price"": 884.0
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 898.4
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 880.6,
      ""ret"": 0.001
    },
    ""1w"": {
      ""time"": null,
      ""price"": 884.0,
      ""ret"": 0.005
    },
    ""3m"": {
      ""time"": null,
      ""price"": 898.4,
      ""ret"": 0.02
    }
  },
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:15:00+00:00"",
    ""open"": 880.5,
    ""high"": 880.5,
    ""low"": 879.5,
    ""close"": 880.0,
    ""volume"": 43
  },
  ""support"": 883.05,
  ""resistance"": 894.6,
  ""support_realtime"": 864.7,
  ""resistance_realtime"": 881.6,
  ""support_1d"": 883.05,
  ""resistance_1d"": 894.6,
  ""support_1w"": 870.0,
  ""resistance_1w"": 908.75,
  ""support_3m"": 852.55,
  ""resistance_3m"": 1059.0,
  ""sr_range_pct_realtime"": 1.922,
  ""sr_range_pct_1d"": 1.3135,
  ""sr_range_pct_1w"": 4.4069,
  ""sr_range_pct_3m"": 23.4789,
  ""volume_threshold"": 1633,
  ""bollinger"": {
    ""mid_price"": 881.91,
    ""upper_band"": 883.32,
    ""lower_band"": 880.25
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  }
}"
2025-09-02 11:33:33,"{
  ""reason"": [
    ""Price remains near support level, indicating potential for bounce or consolidation."",
    ""Bollinger bands are tight with low std deviation, suggesting low volatility and squeeze condition."",
    ""ADX remains below threshold, indicating weak trend strength."",
    ""Recent momentum indicators show slight positive bias but overall signals are neutral."",
    ""No significant change in recent momentum or volatility to justify support/resistance update.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.001,
      ""price"": 880.6
    },
    ""1w"": {
      ""ret"": 0.005,
      ""price"": 884.0
    },
    ""3m"": {
      ""ret"": 0.02,
      ""price"": 898.4
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 880.6,
      ""ret"": 0.001
    },
    ""1w"": {
      ""time"": null,
      ""price"": 884.0,
      ""ret"": 0.005
    },
    ""3m"": {
      ""time"": null,
      ""price"": 898.4,
      ""ret"": 0.02
    }
  },
  ""stock_code"": ""NATCOPHARM"",
  ""instrument_token"": 1003009,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:23:00+00:00"",
    ""open"": 881.3,
    ""high"": 881.3,
    ""low"": 881.15,
    ""close"": 881.3,
    ""volume"": 165
  },
  ""support"": 883.05,
  ""resistance"": 894.6,
  ""support_realtime"": 864.7,
  ""resistance_realtime"": 881.6,
  ""support_1d"": 883.05,
  ""resistance_1d"": 894.6,
  ""support_1w"": 870.0,
  ""resistance_1w"": 908.75,
  ""support_3m"": 852.55,
  ""resistance_3m"": 1059.0,
  ""sr_range_pct_realtime"": 1.9182,
  ""sr_range_pct_1d"": 1.3109,
  ""sr_range_pct_1w"": 4.3982,
  ""sr_range_pct_3m"": 23.4323,
  ""volume_threshold"": 1633,
  ""bollinger"": {
    ""mid_price"": 881.91,
    ""upper_band"": 883.32,
    ""lower_band"": 880.25
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""last_updated"": ""2025-09-02 11:25:01"",
  ""forecast"": ""AI"",
  ""sr_range_pct"": 1.3109
}"
