timestamp,raw_response
2025-08-19 13:26:15,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""support"": 7102.0,
  ""resistance"": 7109.5,
  ""volume_threshold"": 464368,
  ""bollinger"": {
    ""mid_price"": 7105.772727272727,
    ""upper_band"": 7109.826090329019,
    ""lower_band"": 7101.719364216435
  },
  ""macd"": {
    ""signal_line"": -0.019090147391580103,
    ""histogram"": -0.3524497417016171,
    ""ma_fast"": 7106.055555555556,
    ""ma_slow"": 7105.772727272727,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to recent low of 7102.0 based on latest 1-minute candle lows."",
    ""Resistance updated to recent high of 7109.5 based on latest 1-minute candle highs."",
    ""Bollinger Bands updated to reflect recent 1-minute price action."",
    ""MACD values updated to reflect recent momentum showing slight bearish histogram."",
    ""Volume threshold retained as no significant volume spike above current threshold.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:30:24,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""support"": 7096.0,
  ""resistance"": 7109.5,
  ""volume_threshold"": 464368,
  ""bollinger"": {
    ""mid_price"": 7103.866666666667,
    ""upper_band"": 7111.237479979245,
    ""lower_band"": 7096.4958533540885
  },
  ""macd"": {
    ""signal_line"": -0.5032294250143119,
    ""histogram"": -1.0129848371086458,
    ""ma_fast"": 7101.944444444444,
    ""ma_slow"": 7103.866666666667,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to recent 1-minute candle low of 7096.0 reflecting short-term price floor."",
    ""Resistance retained at 7109.5 as recent highs confirm this level as strong ceiling."",
    ""Bollinger Bands adjusted to recent 1-minute data showing slight widening and upper band increase."",
    ""MACD values updated to recent 1-minute data indicating increased bearish momentum with deeper negative histogram."",
    ""Volume threshold retained as recent volume remains below threshold, no significant spikes observed.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:36:22,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""support"": 7093.5,
  ""resistance"": 7109.5,
  ""volume_threshold"": 464368,
  ""bollinger"": {
    ""mid_price"": 7101.5,
    ""upper_band"": 7111.215966241191,
    ""lower_band"": 7091.784033758809
  },
  ""macd"": {
    ""signal_line"": -1.8681818272304467,
    ""histogram"": -0.6738702842515609,
    ""ma_fast"": 7096.777777777777,
    ""ma_slow"": 7101.5,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to recent 1-minute candle low of 7093.5 reflecting a new short-term price floor."",
    ""Resistance retained at 7109.5 as recent highs confirm this level as a strong ceiling."",
    ""Bollinger Bands adjusted to recent 1-minute data showing slight widening and updated upper and lower bands."",
    ""MACD values updated to recent 1-minute data indicating bearish momentum with less negative histogram."",
    ""Volume threshold retained as recent volume remains below threshold, no significant spikes observed.""
  ],
  ""last_updated"": ""2025-08-19 13:35:00"",
  ""signal"": ""Hold""
}"
2025-08-19 14:12:45,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""support"": 6620.0,
  ""resistance"": 7105.0,
  ""volume_threshold"": 150000,
  ""bollinger"": {
    ""mid_price"": 7088.15,
    ""upper_band"": 7105.79,
    ""lower_band"": 7071.80
  },
  ""macd"": {
    ""signal_line"": 7.77,
    ""histogram"": 0.30,
    ""ma_fast"": 7083.28,
    ""ma_slow"": 7088.90,
    ""ma_signal"": 7.25
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 6620 based on recent historical low."",
    ""Resistance updated to 7105 based on recent upper Bollinger Band and recent highs."",
    ""Volume threshold lowered to 150000 reflecting recent lower volume in 1-minute candles."",
    ""Bollinger Bands updated to recent values from 1-minute data."",
    ""MACD parameters updated to recent values indicating slight bearish momentum but close to neutral."",
    ""Signal set to Hold due to price near resistance with mixed momentum indicators.""
  ],
  ""last_updated"": ""2025-08-19 14:15:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:17:18,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""support"": 7091.5,
  ""resistance"": 7117.0,
  ""volume_threshold"": 464368,
  ""bollinger"": {
    ""mid_price"": 7097.875,
    ""upper_band"": 7113.8057093376265,
    ""lower_band"": 7081.9442906623735
  },
  ""macd"": {
    ""signal_line"": 3.516327241082665,
    ""histogram"": 2.0928486778931146,
    ""ma_fast"": 7103.944444444444,
    ""ma_slow"": 7097.875,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to recent low of 7091.5 based on last 1-minute candle lows."",
    ""Resistance updated to recent high of 7117.0 based on last 1-minute candle highs."",
    ""Bollinger Bands updated to reflect recent 1-minute price action."",
    ""MACD values updated to reflect recent momentum changes in 1-minute data."",
    ""Volume threshold retained as recent volume spikes did not exceed historical max.""
  ],
  ""last_updated"": ""2025-08-19 15:16:00"",
  ""signal"": ""Buy""
}"
2025-08-19 15:21:50,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""support"": 7091.5,
  ""resistance"": 7123.613605999442,
  ""volume_threshold"": 464368,
  ""bollinger"": {
    ""mid_price"": 7113.166666666667,
    ""upper_band"": 7123.613605999442,
    ""lower_band"": 7081.936394000557
  },
  ""macd"": {
    ""signal_line"": 5.456097510641024,
    ""histogram"": 1.7666069355323142,
    ""ma_fast"": 7113.166666666667,
    ""ma_slow"": 7102.775,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to recent 1-minute upper Bollinger Band of 7123.61 indicating breakout potential."",
    ""Bollinger Bands updated to reflect latest 1-minute price action with upper band expansion."",
    ""MACD values updated to reflect increased momentum in recent 1-minute data."",
    ""Support retained at recent low of 7091.5 from last 1-minute candle lows."",
    ""Volume threshold retained as recent volume spikes did not exceed historical maximum.""
  ],
  ""last_updated"": ""2025-08-19 15:20:00"",
  ""signal"": ""Buy""
}"
2025-09-01 14:47:43,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""ohlcv"": {
    ""time"": ""2025-09-01T14:44:00+00:00"",
    ""open"": 7138.5,
    ""high"": 7144.0,
    ""low"": 7138.5,
    ""close"": 7140.0,
    ""volume"": 214
  },
  ""support"": 7068.0,
  ""resistance"": 7159.0,
  ""volume_threshold"": 806,
  ""bollinger"": {
    ""mid_price"": 7144.95,
    ""upper_band"": 7154.686015612158,
    ""lower_band"": 7135.213984387841
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to recent 1-minute HH20 level 7159.0 from 7100.0 due to recent price momentum"",
    ""Bollinger bands updated to latest values from recent data"",
    ""Signal changed to Hold due to ADX above threshold and price near upper Bollinger band""
  ],
  ""signal"": ""Hold"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.0027,
      ""price"": 7140.0 * 1.0027
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 7140.0 * 1.012
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 7140.0 * 1.045
    }
  }
}"
2025-09-01 14:55:45,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""ohlcv"": {
    ""time"": ""2025-09-01T14:52:00+00:00"",
    ""open"": 7141.0,
    ""high"": 7142.0,
    ""low"": 7137.0,
    ""close"": 7140.5,
    ""volume"": 234
  },
  ""support"": 7068.0,
  ""resistance"": 7159.0,
  ""volume_threshold"": 806,
  ""bollinger"": {
    ""mid_price"": 7144.225,
    ""upper_band"": 7153.463371068537,
    ""lower_band"": 7134.986628931464
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to recent HH20 level 7159.0 from 7100.0 due to price testing new highs"",
    ""Bollinger bands updated to recent values from latest data"",
    ""Signal remains 'No Action' due to lack of strong momentum or volume confirmation""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.0025,
      ""price"": 7140.5 * 1.0025
    },
    ""1w"": {
      ""ret"": 0.01,
      ""price"": 7140.5 * 1.01
    },
    ""3m"": {
      ""ret"": 0.04,
      ""price"": 7140.5 * 1.04
    }
  }
}"
2025-09-01 15:02:21,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""ohlcv"": {
    ""time"": ""2025-09-01T14:53:00+00:00"",
    ""open"": 7140.5,
    ""high"": 7141.0,
    ""low"": 7137.5,
    ""close"": 7137.5,
    ""volume"": 174
  },
  ""support"": 7068.0,
  ""resistance"": 7159.0,
  ""volume_threshold"": 806,
  ""bollinger"": {
    ""mid_price"": 7143.65,
    ""upper_band"": 7153.06,
    ""lower_band"": 7134.24
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated from 7100.0 to 7159.0 based on recent high near 7159.0"",
    ""Bollinger bands updated to reflect recent mid, upper, and lower values from recent data"",
    ""Signal remains 'No Action' due to weak momentum and ADX below threshold""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.0025,
      ""price"": 7155.84
    },
    ""1w"": {
      ""ret"": 0.0075,
      ""price"": 7191.53
    },
    ""3m"": {
      ""ret"": 0.025,
      ""price"": 7313.94
    }
  }
}"
2025-09-02 11:06:25,"{
  ""stock_code"": ""POLYCAB"",
  ""instrument_token"": 2455041,
  ""ohlcv"": {
    ""time"": ""2025-09-02T11:03:00+00:00"",
    ""open"": 7160.0,
    ""high"": 7162.5,
    ""low"": 7160.0,
    ""close"": 7161.0,
    ""volume"": 68
  },
  ""support"": 7080.0,
  ""resistance"": 7208.0,
  ""support_realtime"": null,
  ""resistance_realtime"": null,
  ""support_1d"": null,
  ""resistance_1d"": null,
  ""support_1w"": null,
  ""resistance_1w"": null,
  ""support_3m"": null,
  ""resistance_3m"": null,
  ""sr_range_pct_realtime"": null,
  ""sr_range_pct_1d"": null,
  ""sr_range_pct_1w"": null,
  ""sr_range_pct_3m"": null,
  ""volume_threshold"": 806,
  ""bollinger"": {
    ""mid_price"": 7166.275,
    ""upper_band"": 7171.847028355991,
    ""lower_band"": 7160.702971644008
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support to 7080.0 based on recent historical low and HH20 level"",
    ""Updated resistance to 7208.0 based on recent historical high and HH20 level"",
    ""Refreshed Bollinger Bands to recent mid 7166.275, upper 7171.847, lower 7160.703 from recent 1-min data"",
    ""Signal remains 'No Action' due to ADX below threshold and weak MACD histogram momentum"",
    ""Predicted targets computed using recent close 7161.0 and moderate positive momentum""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.002,
      ""price"": 7175.322
    },
    ""1w"": {
      ""ret"": 0.008,
      ""price"": 7217.288
    },
    ""3m"": {
      ""ret"": 0.025,
      ""price"": 7341.025
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 7175.322,
      ""ret"": 0.002
    },
    ""1w"": {
      ""time"": null,
      ""price"": 7217.288,
      ""ret"": 0.008
    },
    ""3m"": {
      ""time"": null,
      ""price"": 7341.025,
      ""ret"": 0.025
    }
  }
}"
