timestamp,raw_response
2025-08-19 13:27:19,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""support"": 43.0,
  ""resistance"": 45.44,
  ""volume_threshold"": 17569894,
  ""bollinger"": {
    ""mid_price"": 45.4325,
    ""upper_band"": 45.45848076211353,
    ""lower_band"": 45.37
  },
  ""macd"": {
    ""signal_line"": 0.010804845012842179,
    ""histogram"": 0.0020632911970085554,
    ""ma_fast"": 45.437777777777775,
    ""ma_slow"": 45.4325,
    ""ma_signal"": 45.4325
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to 45.44 based on recent 1-minute candle highs indicating breakout above previous resistance of 44.92."",
    ""Bollinger Bands adjusted to recent consolidation around 45.43 mid price with tight upper and lower bands reflecting low volatility."",
    ""MACD histogram remains positive but reduced, indicating continued but weakening short-term bullish momentum."",
    ""Support retained at 43.0 as recent price action remains well above this level."",
    ""Volume threshold retained as recent volumes remain below historical peak volumes.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Buy""
}"
2025-08-19 13:31:29,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""support"": 43.0,
  ""resistance"": 45.44,
  ""volume_threshold"": 17569894,
  ""bollinger"": {
    ""mid_price"": 45.4325,
    ""upper_band"": 45.457793742494,
    ""lower_band"": 45.37
  },
  ""macd"": {
    ""signal_line"": 0.009586165347396577,
    ""histogram"": 0.00019698656902651657,
    ""ma_fast"": 45.44,
    ""ma_slow"": 45.434374999999996,
    ""ma_signal"": 45.434374999999996
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance retained at 45.44 as recent 1-minute candles confirm price holding at this level without breakout."",
    ""Bollinger Bands upper band slightly adjusted to 45.4578 reflecting recent 1-minute data."",
    ""MACD histogram decreased significantly to near zero, indicating weakening bullish momentum."",
    ""Support level maintained at 43.0 due to stable historical lows and no recent breach."",
    ""Volume threshold unchanged as recent volumes remain consistent with historical averages."",
    ""MACD moving averages updated to reflect recent price averages from 1-minute data.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:37:22,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""support"": 43.0,
  ""resistance"": 45.44,
  ""volume_threshold"": 17569894,
  ""bollinger"": {
    ""mid_price"": 45.439,
    ""upper_band"": 45.445,
    ""lower_band"": 45.433
  },
  ""macd"": {
    ""signal_line"": 0.00847253947298105,
    ""histogram"": -0.0011907377186284925,
    ""ma_fast"": 45.44,
    ""ma_slow"": 45.439,
    ""ma_signal"": 45.439
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance retained at 45.44 as recent 1-minute candles confirm price holding at this level without breakout."",
    ""Bollinger Bands upper band slightly adjusted to 45.445 reflecting recent 1-minute data."",
    ""MACD histogram turned slightly negative indicating weakening bullish momentum in very short term."",
    ""Support level maintained at 43.0 due to stable historical lows and no recent breach."",
    ""Volume threshold unchanged as recent volumes remain consistent with historical averages."",
    ""MACD moving averages updated to reflect recent price averages from 1-minute data.""
  ],
  ""last_updated"": ""2025-08-19 13:40:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:18:22,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""support"": 43.0,
  ""resistance"": 45.44,
  ""volume_threshold"": 17569894,
  ""bollinger"": {
    ""mid_price"": 44.22,
    ""upper_band"": 45.44,
    ""lower_band"": 43.0
  },
  ""macd"": {
    ""signal_line"": 0.00266,
    ""histogram"": -0.00101,
    ""ma_fast"": 45.44,
    ""ma_slow"": 45.44,
    ""ma_signal"": 44.22
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to 45.44 based on recent 1-minute candle highs indicating breakout above previous resistance of 44.92."",
    ""Bollinger Bands upper band adjusted to 45.44 reflecting recent price breakout and consolidation."",
    ""MACD parameters updated to reflect recent slight negative histogram indicating weakening bullish momentum."",
    ""Support retained at 43.0 as recent lows have not breached this level."",
    ""Volume threshold retained as recent volumes remain below historical peak.""
  ],
  ""last_updated"": ""2025-08-19 15:20:00"",
  ""signal"": ""Hold""
}"
2025-09-01 14:49:42,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""ohlcv"": {
    ""time"": ""2025-09-01 14:44:00+00:00"",
    ""open"": 44.45,
    ""high"": 44.45,
    ""low"": 44.41,
    ""close"": 44.41,
    ""volume"": 13672
  },
  ""support"": 44.4,
  ""resistance"": 44.55,
  ""volume_threshold"": 7155,
  ""bollinger"": {
    ""mid_price"": 44.442,
    ""upper_band"": 44.494,
    ""lower_band"": 44.390
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support and resistance to recent Bollinger bands and price extremes."",
    ""Volume remains above threshold, confirming liquidity."",
    ""ADX remains strong above threshold indicating trend strength."",
    ""Recent close near lower Bollinger band suggests short-term support."",
    ""MACD histogram positive but small, indicating mild bullish momentum.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.005,
      ""price"": 44.63
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 45.07
    },
    ""3m"": {
      ""ret"": 0.05,
      ""price"": 46.63
    }
  }
}"
2025-09-02 11:08:44,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""ohlcv"": {
    ""time"": ""2025-09-02T11:05:00+00:00"",
    ""open"": 46.24,
    ""high"": 46.24,
    ""low"": 46.24,
    ""close"": 46.24,
    ""volume"": 2780
  },
  ""support"": 44.5,
  ""resistance"": 47.71,
  ""support_realtime"": null,
  ""resistance_realtime"": null,
  ""support_1d"": null,
  ""resistance_1d"": null,
  ""support_1w"": null,
  ""resistance_1w"": null,
  ""support_3m"": null,
  ""resistance_3m"": null,
  ""sr_range_pct_realtime"": null,
  ""sr_range_pct_1d"": null,
  ""sr_range_pct_1w"": null,
  ""sr_range_pct_3m"": null,
  ""volume_threshold"": 7000,
  ""bollinger"": {
    ""mid_price"": 46.24,
    ""upper_band"": 46.24,
    ""lower_band"": 46.24
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support to 44.5 based on recent historical low close."",
    ""Updated resistance to 47.71 based on recent historical high close."",
    ""Volume threshold adjusted slightly down to 7000 reflecting recent lower volumes."",
    ""Bollinger bands updated to latest close 46.24 with zero width indicating low volatility."",
    ""Signal downgraded to 'No Action' due to lack of momentum and low volume in recent data.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.005,
      ""price"": 46.4732
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 46.9136
    },
    ""3m"": {
      ""ret"": 0.04,
      ""price"": 48.0896
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 46.4732,
      ""ret"": 0.005
    },
    ""1w"": {
      ""time"": null,
      ""price"": 46.9136,
      ""ret"": 0.015
    },
    ""3m"": {
      ""time"": null,
      ""price"": 48.0896,
      ""ret"": 0.04
    }
  }
}"
2025-09-02 11:17:25,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:14:00+00:00"",
    ""open"": 46.24,
    ""high"": 46.24,
    ""low"": 46.24,
    ""close"": 46.24,
    ""volume"": 2039
  },
  ""support"": 44.5,
  ""resistance"": 47.71,
  ""support_realtime"": 43.98,
  ""resistance_realtime"": 46.24,
  ""support_1d"": 46.35,
  ""resistance_1d"": 47.71,
  ""support_1w"": 41.76,
  ""resistance_1w"": 47.71,
  ""support_3m"": 41.76,
  ""resistance_3m"": 76.49,
  ""sr_range_pct_realtime"": 4.8875,
  ""sr_range_pct_1d"": 2.9412,
  ""sr_range_pct_1w"": 12.8676,
  ""sr_range_pct_3m"": 75.1081,
  ""volume_threshold"": 7000,
  ""bollinger"": {
    ""mid_price"": 46.24,
    ""upper_band"": 46.24,
    ""lower_band"": 46.24
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated support to 44.5 based on recent historical low close."",
    ""Resistance remains at 47.71 consistent with recent historical high close."",
    ""Volume threshold maintained at 7000 reflecting recent lower volumes."",
    ""Bollinger bands updated to latest close 46.24 with zero width indicating low volatility."",
    ""Signal downgraded to 'No Action' due to lack of momentum and low volume in recent data.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.005,
      ""price"": 46.4732
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 46.9136
    },
    ""3m"": {
      ""ret"": 0.04,
      ""price"": 48.0896
    }
  }
}"
2025-09-02 11:26:07,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:16:00+00:00"",
    ""open"": 46.24,
    ""high"": 46.24,
    ""low"": 46.24,
    ""close"": 46.24,
    ""volume"": 6275
  },
  ""support"": 44.5,
  ""resistance"": 47.71,
  ""support_realtime"": 46.24,
  ""resistance_realtime"": 46.24,
  ""support_1d"": 46.35,
  ""resistance_1d"": 47.71,
  ""support_1w"": 41.76,
  ""resistance_1w"": 47.71,
  ""support_3m"": 41.76,
  ""resistance_3m"": 76.49,
  ""sr_range_pct_realtime"": 0.0,
  ""sr_range_pct_1d"": 2.9412,
  ""sr_range_pct_1w"": 12.8676,
  ""sr_range_pct_3m"": 75.1081,
  ""volume_threshold"": 7000,
  ""bollinger"": {
    ""mid_price"": 46.24,
    ""upper_band"": 46.24,
    ""lower_band"": 46.24
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 44.5 based on recent historical low close around 44.5."",
    ""Resistance remains at 47.71 consistent with recent historical high close."",
    ""Volume threshold maintained at 7000 reflecting recent lower volumes."",
    ""Bollinger bands updated to latest close 46.24 with zero width indicating low volatility."",
    ""Signal downgraded to 'No Action' due to lack of momentum and low volume in recent data.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.005,
      ""price"": 46.4732
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 46.9136
    },
    ""3m"": {
      ""ret"": 0.04,
      ""price"": 48.0896
    }
  }
}"
2025-09-02 11:34:47,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:25:00+00:00"",
    ""open"": 46.24,
    ""high"": 46.24,
    ""low"": 46.24,
    ""close"": 46.24,
    ""volume"": 7400
  },
  ""support"": 44.5,
  ""resistance"": 47.71,
  ""support_realtime"": 46.24,
  ""resistance_realtime"": 46.24,
  ""support_1d"": 46.35,
  ""resistance_1d"": 47.71,
  ""support_1w"": 41.76,
  ""resistance_1w"": 47.71,
  ""support_3m"": 41.76,
  ""resistance_3m"": 76.49,
  ""sr_range_pct_realtime"": 0.0,
  ""sr_range_pct_1d"": 2.9412,
  ""sr_range_pct_1w"": 12.8676,
  ""sr_range_pct_3m"": 75.1081,
  ""volume_threshold"": 7000,
  ""bollinger"": {
    ""mid_price"": 46.24,
    ""upper_band"": 46.24,
    ""lower_band"": 46.24
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 44.5 based on recent historical low close around 44.5."",
    ""Resistance remains at 47.71 consistent with recent historical high close."",
    ""Volume threshold maintained at 7000 reflecting recent lower volumes."",
    ""Bollinger bands updated to latest close 46.24 with zero width indicating low volatility."",
    ""Signal downgraded to 'No Action' due to lack of momentum and low volume in recent data.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.005,
      ""price"": 46.4732
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 46.9136
    },
    ""3m"": {
      ""ret"": 0.04,
      ""price"": 48.0896
    }
  }
}"
2025-09-02 11:44:02,"{
  ""stock_code"": ""RPOWER-BE"",
  ""instrument_token"": 3906817,
  ""ohlcv"": {
    ""time"": ""2025-09-02 11:33:00+00:00"",
    ""open"": 46.24,
    ""high"": 46.24,
    ""low"": 46.24,
    ""close"": 46.24,
    ""volume"": 4082
  },
  ""support"": 44.5,
  ""resistance"": 47.71,
  ""support_realtime"": 46.24,
  ""resistance_realtime"": 46.24,
  ""support_1d"": 44.5,
  ""resistance_1d"": 47.71,
  ""support_1w"": 41.76,
  ""resistance_1w"": 47.71,
  ""support_3m"": 41.76,
  ""resistance_3m"": 76.49,
  ""sr_range_pct_realtime"": 0.0,
  ""sr_range_pct_1d"": 6.0,
  ""sr_range_pct_1w"": 12.8676,
  ""sr_range_pct_3m"": 75.1081,
  ""volume_threshold"": 7000,
  ""bollinger"": {
    ""mid_price"": 46.24,
    ""upper_band"": 46.24,
    ""lower_band"": 46.24
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 44.5 based on recent historical low close around 44.5."",
    ""Resistance remains at 47.71 consistent with recent historical high close."",
    ""Volume threshold maintained at 7000 reflecting recent lower volumes."",
    ""Bollinger bands updated to latest close 46.24 with zero width indicating low volatility."",
    ""Signal downgraded to 'No Action' due to lack of momentum and low volume in recent data.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.005,
      ""price"": 46.4732
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 46.9136
    },
    ""3m"": {
      ""ret"": 0.04,
      ""price"": 48.0896
    }
  }
}"
