timestamp,raw_response
2025-08-19 13:29:04,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""support"": 50.0,
  ""resistance"": 52.5,
  ""volume_threshold"": 4000000,
  ""bollinger"": {
    ""mid_price"": 52.0,
    ""upper_band"": 52.5,
    ""lower_band"": 51.5
  },
  ""macd"": {
    ""signal_line"": 0.0025,
    ""histogram"": 0.0018,
    ""ma_fast"": 52.45,
    ""ma_slow"": 52.45,
    ""ma_signal"": 52.45
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a slight upward breakout above resistance with increased volume."",
    ""Price is trading near upper Bollinger Band, indicating potential bullish momentum."",
    ""ADX remains above 20, confirming trend strength."",
    ""MACD histogram shows positive momentum, supporting a bullish outlook.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Buy""
}"
2025-08-19 13:34:59,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""support"": 50.0,
  ""resistance"": 53.0,
  ""volume_threshold"": 4000000,
  ""bollinger"": {
    ""mid_price"": 53.3,
    ""upper_band"": 53.4,
    ""lower_band"": 53.2
  },
  ""macd"": {
    ""signal_line"": 0.0027,
    ""histogram"": -0.0050,
    ""ma_fast"": 53.3,
    ""ma_slow"": 53.3,
    ""ma_signal"": 53.3
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles indicate consolidation with no clear breakout; support and resistance levels stable."",
    ""No significant trend or breakout observed in recent data."",
    ""ADX remains below 20, indicating weak trend strength."",
    ""MACD histogram is negative but close to zero, suggesting no strong momentum.""
  ],
  ""last_updated"": ""2025-08-19 13:33:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:39:17,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""support"": 50.0,
  ""resistance"": 53.0,
  ""volume_threshold"": 4000000,
  ""bollinger"": {
    ""mid_price"": 53.3,
    ""upper_band"": 53.4,
    ""lower_band"": 53.2
  },
  ""macd"": {
    ""signal_line"": 0.0027,
    ""histogram"": -0.005,
    ""ma_fast"": 53.3,
    ""ma_slow"": 53.3,
    ""ma_signal"": 53.3
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a slight upward movement with the close near the upper Bollinger band, indicating potential bullish momentum."",
    ""MACD histogram remains negative but is decreasing in magnitude, suggesting weakening bearish momentum."",
    ""ADX remains below 20, indicating weak trend strength, but recent price action suggests potential for a breakout."",
    ""Support and resistance levels remain stable; recent volume is high, supporting potential breakout activity.""
  ],
  ""last_updated"": ""2025-08-19 13:33:00"",
  ""signal"": ""Buy""
}"
2025-08-19 13:54:09,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""support"": 50.0,
  ""resistance"": 53.0,
  ""volume_threshold"": 4000000,
  ""bollinger"": {
    ""mid_price"": 53.3,
    ""upper_band"": 53.4,
    ""lower_band"": 53.2
  },
  ""macd"": {
    ""signal_line"": 0.0027,
    ""histogram"": -0.005,
    ""ma_fast"": 53.3,
    ""ma_slow"": 53.3,
    ""ma_signal"": 53.3
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a consolidation near resistance with no clear breakout, indicating potential sideways movement."",
    ""MACD histogram remains negative but shows signs of decreasing bearish momentum, suggesting a possible weakening of downward trend."",
    ""ADX remains below 20, indicating weak trend strength, but recent price action near resistance warrants monitoring for breakout confirmation."",
    ""Volume remains high but no significant breakout signals observed in recent candles.""
  ],
  ""last_updated"": ""2025-08-19 13:52:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:16:01,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""support"": 50.0,
  ""resistance"": 52.5,
  ""volume_threshold"": 4000000,
  ""bollinger"": {
    ""mid_price"": 52.0,
    ""upper_band"": 52.5,
    ""lower_band"": 51.5
  },
  ""macd"": {
    ""signal_line"": 0.0025,
    ""histogram"": 0.0018,
    ""ma_fast"": 52.45,
    ""ma_slow"": 52.45,
    ""ma_signal"": 52.45
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a slight upward breakout above resistance with increased volume."",
    ""MACD remains positive and above zero, indicating bullish momentum."",
    ""Recent volume exceeds threshold, supporting breakout confirmation."",
    ""No significant change in support level.""
  ],
  ""last_updated"": ""2025-08-19 15:14:00"",
  ""signal"": ""Buy""
}"
2025-08-19 15:20:27,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""support"": 50.0,
  ""resistance"": 54.0,
  ""volume_threshold"": 4000000,
  ""bollinger"": {
    ""mid_price"": 53.0,
    ""upper_band"": 54.0,
    ""lower_band"": 52.0
  },
  ""macd"": {
    ""signal_line"": 0.0025,
    ""histogram"": 0.0018,
    ""ma_fast"": 53.84,
    ""ma_slow"": 53.48,
    ""ma_signal"": 53.48
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a strong upward movement with the close near resistance at 54.0, indicating potential breakout."",
    ""MACD remains positive and stable, supporting bullish momentum."",
    ""Volume remains high and consistent with recent trend, supporting breakout potential."",
    ""Support level remains unchanged, but resistance has been tested multiple times recently.""
  ],
  ""last_updated"": ""2025-08-19 15:19:00"",
  ""signal"": ""Buy""
}"
2025-08-22 12:05:41,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""support"": 53.67,
  ""resistance"": 54.7,
  ""volume_threshold"": 17017,
  ""bollinger"": {
    ""mid_price"": 54.18,
    ""upper_band"": 54.7,
    ""lower_band"": 53.67
  },
  ""macd"": {
    ""signal_line"": 0.0025,
    ""histogram"": 0.0018,
    ""ma_fast"": 53.84,
    ""ma_slow"": 53.48,
    ""ma_signal"": 53.48
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a slight upward breakout above resistance at 54.7, indicating potential bullish momentum."",
    ""Support remains stable at 53.67 with no major breakdown signals."",
    ""Volume has increased slightly, supporting the breakout scenario."",
    ""MACD histogram remains positive, confirming upward momentum."",
    ""ADX remains above 20, indicating a trending market.""
  ],
  ""last_updated"": ""2025-08-21 11:34:00"",
  ""signal"": ""Buy""
}"
2025-08-22 12:10:54,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""support"": 53.67,
  ""resistance"": 54.7,
  ""volume_threshold"": 17017,
  ""bollinger"": {
    ""mid_price"": 54.18,
    ""upper_band"": 54.7,
    ""lower_band"": 53.67
  },
  ""macd"": {
    ""signal_line"": 0.0025,
    ""histogram"": 0.0018,
    ""ma_fast"": 53.84,
    ""ma_slow"": 53.48,
    ""ma_signal"": 53.48
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a slight upward breakout above resistance at 54.7, indicating potential bullish momentum."",
    ""Support remains stable at 53.67 with no major breakdown signals."",
    ""Volume has increased slightly, supporting the breakout scenario."",
    ""MACD histogram remains positive, confirming upward momentum."",
    ""ADX remains above 20, indicating a trending market.""
  ],
  ""last_updated"": ""2025-08-21 11:34:00"",
  ""signal"": ""Buy""
}"
2025-09-01 14:45:18,"{
  ""reason"": [
    ""Recent price surge to 61.45 indicates strong upward momentum."",
    ""Significant increase in MACD and ADX suggests a bullish trend."",
    ""Price is above the upper Bollinger Band, indicating potential overbought condition but strong bullish bias."",
    ""Volume spike supports increased buying interest."",
    ""Moving averages are aligned with fast MA crossing above slow MA.""
  ],
  ""signal"": ""Bullish Breakout"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.012,
      ""price"": 61.45 * (1 + 0.012)
    },
    ""1w"": {
      ""ret"": 0.035,
      ""price"": 61.45 * (1 + 0.035)
    },
    ""3m"": {
      ""ret"": 0.10,
      ""price"": 61.45 * (1 + 0.10)
    }
  },
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""ohlcv"": {
    ""time"": ""2025-09-01 14:41:00+00:00"",
    ""open"": 61.34,
    ""high"": 61.45,
    ""low"": 61.34,
    ""close"": 61.45,
    ""volume"": 8666
  },
  ""support"": 53.75,
  ""resistance"": 54.71,
  ""volume_threshold"": 1984,
  ""bollinger"": {
    ""mid_price"": 54.23,
    ""upper_band"": 54.71,
    ""lower_band"": 53.75
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 61.3144,
    ""ma_slow"": 61.2705
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  }
}"
2025-09-01 14:53:14,"{
  ""stock_code"": ""RTNINDIA"",
  ""instrument_token"": 6988033,
  ""ohlcv"": {
    ""time"": null,
    ""open"": null,
    ""high"": null,
    ""low"": null,
    ""close"": null,
    ""volume"": null
  },
  ""support"": 53.75,
  ""resistance"": 54.71,
  ""volume_threshold"": 1984,
  ""bollinger"": {
    ""mid_price"": 54.23,
    ""upper_band"": 54.71,
    ""lower_band"": 53.75
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent daily candles show price approaching resistance with decreasing volatility, indicating potential consolidation."",
    ""Recent momentum indicators (MACD, ADX) suggest weakening trend strength, supporting a 'No Action' stance.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.005,
      ""price"": 62.12
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 63.84
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 66.66
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": null,
      ""price"": 62.12,
      ""ret"": 0.005
    },
    ""1w"": {
      ""time"": null,
      ""price"": 63.84,
      ""ret"": 0.015
    },
    ""3m"": {
      ""time"": null,
      ""price"": 66.66,
      ""ret"": 0.045
    }
  }
}"
