timestamp,raw_response
2025-08-19 13:25:30,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5482.0,
  ""resistance"": 5495.0,
  ""volume_threshold"": 1200000,
  ""bollinger"": {
    ""mid_price"": 5485.9,
    ""upper_band"": 5491.727520913733,
    ""lower_band"": 5480.072479086266
  },
  ""macd"": {
    ""signal_line"": -1.9338673287411539,
    ""histogram"": -0.5016297318406842,
    ""ma_fast"": 5485.0,
    ""ma_slow"": 5485.9,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to recent low of 5482.0 based on 1-minute recent data."",
    ""Resistance updated to recent high of 5495.0 based on 1-minute recent data."",
    ""Bollinger bands updated to reflect recent price levels with mid at 5485.9, upper at 5491.73, and lower at 5480.07."",
    ""MACD histogram less negative at -0.50 indicating slight reduction in bearish momentum compared to historical data."",
    ""Volume threshold retained as recent volume remains low but consistent with historical average volumes.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:29:42,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5482.0,
  ""resistance"": 5495.0,
  ""volume_threshold"": 1200000,
  ""bollinger"": {
    ""mid_price"": 5486.035714285715,
    ""upper_band"": 5491.056589077369,
    ""lower_band"": 5481.014839494061
  },
  ""macd"": {
    ""signal_line"": -2.014242669349373,
    ""histogram"": 0.026466905960846443,
    ""ma_fast"": 5485.722222222223,
    ""ma_slow"": 5486.035714285715,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support retained at 5482.0 based on recent 1-minute data lows."",
    ""Resistance retained at 5495.0 based on recent 1-minute data highs."",
    ""Bollinger bands updated to recent 1-minute data with mid at 5486.04, upper at 5491.06, and lower at 5481.01 reflecting tighter range."",
    ""MACD histogram turned slightly positive at 0.0265 indicating a minor bullish momentum shift in recent data."",
    ""Volume threshold retained at 1200000 as recent volume remains low and consistent with historical averages."",
    ""ADX threshold retained at 20 as ADX remains below indicating no strong trend.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:35:35,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5480.0,
  ""resistance"": 5495.0,
  ""volume_threshold"": 1200000,
  ""bollinger"": {
    ""mid_price"": 5485.575,
    ""upper_band"": 5490.934804100898,
    ""lower_band"": 5480.215195899102
  },
  ""macd"": {
    ""signal_line"": -2.1791499373384795,
    ""histogram"": -0.28738532124271843,
    ""ma_fast"": 5485.111111111111,
    ""ma_slow"": 5485.575,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 5480.0 based on recent 1-minute data lows showing a slight downward adjustment."",
    ""Resistance retained at 5495.0 based on recent 1-minute data highs."",
    ""Bollinger bands updated to recent 1-minute data with mid at 5485.575, upper at 5490.93, and lower at 5480.22 reflecting current tighter price range."",
    ""MACD histogram turned negative at -0.287 indicating minor bearish momentum in recent data."",
    ""Volume threshold retained at 1200000 as recent volume remains low and consistent with historical averages."",
    ""ADX threshold retained at 20 as ADX remains below indicating no strong trend.""
  ],
  ""last_updated"": ""2025-08-19 13:35:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:39:52,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5478.5,
  ""resistance"": 5492.5,
  ""volume_threshold"": 1200000,
  ""bollinger"": {
    ""mid_price"": 5484.25,
    ""upper_band"": 5489.4797227459985,
    ""lower_band"": 5479.0202772540015
  },
  ""macd"": {
    ""signal_line"": -2.2524812543456525,
    ""histogram"": -0.38135029202338533,
    ""ma_fast"": 5482.222222222223,
    ""ma_slow"": 5484.25,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 5478.5 based on recent 1-minute data lows indicating a slight downward shift."",
    ""Resistance updated to 5492.5 based on recent 1-minute data highs showing a minor upward breakout."",
    ""Bollinger bands adjusted to recent 1-minute data with mid at 5484.25, upper at 5489.48, and lower at 5479.02 reflecting current price compression."",
    ""MACD histogram remains negative at -0.38 indicating continued minor bearish momentum."",
    ""Volume threshold retained at 1200000 as recent volume remains consistent with historical averages."",
    ""ADX threshold retained at 20 as ADX remains below indicating no strong trend.""
  ],
  ""last_updated"": ""2025-08-19 13:40:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:54:43,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5476.5,
  ""resistance"": 5492.5,
  ""volume_threshold"": 1200000,
  ""bollinger"": {
    ""mid_price"": 5483.375,
    ""upper_band"": 5489.161838515115,
    ""lower_band"": 5477.588161484885
  },
  ""macd"": {
    ""signal_line"": -2.3547710739949252,
    ""histogram"": 0.01308793289920418,
    ""ma_fast"": 5480.555555555556,
    ""ma_slow"": 5483.375,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 5476.5 based on recent 1-minute data lows showing a slight downward shift from previous support."",
    ""Bollinger bands adjusted to recent 1-minute data with mid at 5483.375, upper at 5489.16, and lower at 5477.59 reflecting current price compression."",
    ""MACD histogram turned slightly positive at 0.013 indicating a minor bullish momentum shift."",
    ""Resistance retained at 5492.5 as recent highs confirm previous resistance level."",
    ""Volume threshold retained at 1200000 as recent volume remains consistent with historical averages."",
    ""ADX threshold retained at 20 as ADX at 45 indicates a strong trend but no change in threshold needed.""
  ],
  ""last_updated"": ""2025-08-19 13:53:00"",
  ""signal"": ""Hold""
}"
2025-08-19 14:04:29,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5357.5,
  ""resistance"": 5484.5,
  ""volume_threshold"": 1000000,
  ""bollinger"": {
    ""mid_price"": 5481.025,
    ""upper_band"": 5484.467,
    ""lower_band"": 5477.583
  },
  ""macd"": {
    ""signal_line"": -1.494,
    ""histogram"": 0.459,
    ""ma_fast"": 5480.556,
    ""ma_slow"": 5481.025,
    ""ma_signal"": -1.954
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 5480.556,
    ""ma_slow"": 5481.025
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation near resistance with tight Bollinger bands."",
    ""MACD histogram indicates slight bullish momentum but remains close to zero."",
    ""ADX remains below 20, indicating weak trend strength."",
    ""Support and resistance levels adjusted based on recent high and low points."",
    ""Volume remains high, but no significant breakout confirmed.""
  ],
  ""last_updated"": ""2025-08-19 14:03:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:16:34,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5501.5,
  ""resistance"": 5506.9,
  ""volume_threshold"": 1200000,
  ""bollinger"": {
    ""mid_price"": 5501.5,
    ""upper_band"": 5506.9,
    ""lower_band"": 5496.1
  },
  ""macd"": {
    ""signal_line"": 4.15,
    ""histogram"": -0.47,
    ""ma_fast"": 5503.3,
    ""ma_slow"": 5501.5,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 5501.5 based on recent 1-minute data low."",
    ""Resistance updated to 5506.9 based on recent 1-minute data high and upper Bollinger band."",
    ""Bollinger bands adjusted to recent price levels reflecting tighter range and slight upward shift."",
    ""MACD histogram remains slightly negative indicating mild bearish momentum but MACD line positive suggesting potential bullish crossover."",
    ""Volume threshold retained as recent volume remains below historical average, no significant spike detected."",
    ""ADX threshold retained at 20 as ADX remains around this level indicating neutral trend strength.""
  ],
  ""last_updated"": ""2025-08-19 15:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:21:00,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5495.7,
  ""resistance"": 5507.0,
  ""volume_threshold"": 1200000,
  ""bollinger"": {
    ""mid_price"": 5501.4,
    ""upper_band"": 5507.0,
    ""lower_band"": 5495.7
  },
  ""macd"": {
    ""signal_line"": 4.15,
    ""histogram"": -0.47,
    ""ma_fast"": 5503.3,
    ""ma_slow"": 5501.5,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support updated to 5495.7 based on recent 1-minute data low and lower Bollinger band."",
    ""Resistance updated to 5507.0 based on recent 1-minute data high and upper Bollinger band."",
    ""Bollinger bands adjusted to recent price levels reflecting slightly wider range and minor upward shift."",
    ""Volume threshold retained as recent volume remains below historical average, no significant spike detected."",
    ""MACD histogram remains slightly negative indicating mild bearish momentum but MACD line positive suggesting potential bullish crossover."",
    ""ADX threshold retained at 20 as ADX remains around this level indicating neutral trend strength.""
  ],
  ""last_updated"": ""2025-08-19 15:30:00"",
  ""signal"": ""Hold""
}"
2025-08-22 12:11:50,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""support"": 5461.5,
  ""resistance"": 5480.0,
  ""volume_threshold"": 7235,
  ""bollinger"": {
    ""mid_price"": 5471.175,
    ""upper_band"": 5480.0,
    ""lower_band"": 5461.5
  },
  ""macd"": {
    ""signal_line"": 4.15,
    ""histogram"": -0.9256,
    ""ma_fast"": 5466.8333,
    ""ma_slow"": 5471.175,
    ""ma_signal"": 0.0
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support and resistance updated to recent Bollinger Bands lower and upper bands based on last 1-minute candles"",
    ""Mid Bollinger price updated to recent mid price from 1-minute data"",
    ""MACD histogram updated to recent value indicating slight bearish momentum"",
    ""Moving averages for MACD updated to recent fast and slow MA from 1-minute data""
  ],
  ""last_updated"": ""2025-08-22 12:15:00"",
  ""signal"": ""Hold"",
  ""forecast"": ""basic_algo""
}"
2025-09-01 14:46:20,"{
  ""stock_code"": ""TRENT"",
  ""instrument_token"": 502785,
  ""ohlcv"": {
    ""time"": ""2025-09-01T14:42:00+00:00"",
    ""open"": 5458.0,
    ""high"": 5462.0,
    ""low"": 5455.0,
    ""close"": 5455.5,
    ""volume"": 6134
  },
  ""support"": 5449.5,
  ""resistance"": 5468.76,
  ""volume_threshold"": 5776,
  ""bollinger"": {
    ""mid_price"": 5453.28,
    ""upper_band"": 5457.16,
    ""lower_band"": 5446.69
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Updated Bollinger Bands to reflect recent data mid_price, upper_band, and lower_band"",
    ""Latest close price stable near support with volume above threshold"",
    ""ADX remains above threshold indicating trend strength"",
    ""MACD histogram turned positive recently indicating bullish momentum""
  ],
  ""signal"": ""Buy"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.002,
      ""price"": 5466.41
    },
    ""1w"": {
      ""ret"": 0.012,
      ""price"": 5520.97
    },
    ""3m"": {
      ""ret"": 0.045,
      ""price"": 5703.98
    }
  }
}"
