timestamp,window_sec,unique_symbols_last_window,events_last_window,pct_of_400,avg_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,per_model_counts_json
2025-08-19 12:17:05,60,1,1,0.25,39.1,39.1,39.1,39.1,"{""gpt-4.1-mini"":1}"
2025-08-19 12:18:06,60,2,11,0.5,18.85,14.66,27.7,40.87,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:19:03,60,1,1,0.25,47.66,47.66,47.66,47.66,"{""gpt-4.1-mini"":1}"
2025-08-19 12:23:38,60,1,1,0.25,50.07,50.07,50.07,50.07,"{""gpt-4.1-mini"":1}"
2025-08-19 12:24:38,60,2,11,0.5,14.13,13.04,15.28,27.5,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:25:38,60,2,11,0.5,14.44,14.95,17.69,19.8,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:33:10,60,1,1,0.25,50.35,50.35,50.35,50.35,"{""gpt-4.1-mini"":1}"
2025-08-19 12:34:10,60,2,11,0.5,14.79,10.57,13.98,46.71,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:51:16,60,1,1,0.25,45.53,45.53,45.53,45.53,"{""gpt-4.1-mini"":1}"
2025-08-19 12:52:16,60,2,11,0.5,11.29,10.04,13.41,20.76,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:53:17,60,2,11,0.5,10.47,10.65,11.72,12.46,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:54:17,60,2,11,0.5,11.16,10.29,15.05,15.14,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:55:17,60,2,11,0.5,11.86,11.77,13.73,13.94,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:56:17,60,2,11,0.5,13.45,13.33,15.29,16.83,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:57:17,60,2,11,0.5,12.35,12.51,16.73,18.73,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:58:19,60,2,11,0.5,127.64,10.25,13.41,1170.39,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 12:59:19,60,2,11,0.5,12.78,12.37,17.26,19.17,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 13:00:19,60,2,11,0.5,13.87,13.03,18.5,19.15,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 13:01:27,60,2,9,0.5,1425.59,13.81,5368.44,7774.4,"{""gpt-4.1-nano"":5,""gpt-4.1-mini"":4}"
2025-08-19 13:02:36,60,2,6,0.5,6513.65,6131.17,8829.75,9691.94,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 13:03:45,60,2,5,0.5,6722.29,6778.74,8434.38,8766.05,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 13:04:50,60,2,6,0.5,5760.99,5217.46,7988.03,8010.12,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 13:06:08,60,1,1,0.25,14217.79,14217.79,14217.79,14217.79,"{""gpt-4.1-mini"":1}"
2025-08-19 13:15:58,60,1,1,0.25,101.07,101.07,101.07,101.07,"{""gpt-4.1-mini"":1}"
2025-08-19 13:16:58,60,9,9,2.25,1126.17,15.97,2018.86,9214.74,"{""gpt-4.1-mini"":5,""gpt-4.1-nano"":4}"
2025-08-19 13:17:58,60,11,11,2.75,29.17,31.42,41.72,52.21,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 13:18:59,60,10,10,2.5,575.15,12.72,577.8,5136.44,"{""gpt-4.1-nano"":5,""gpt-4.1-mini"":5}"
2025-08-19 13:19:59,60,11,11,2.75,12.07,11.3,14.33,19.7,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 13:21:03,60,10,10,2.5,855.56,14.77,926.82,7603.53,"{""gpt-4.1-nano"":5,""gpt-4.1-mini"":5}"
2025-08-19 13:22:03,60,11,11,2.75,10.35,9.91,12.36,14.04,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 13:23:05,60,10,10,2.5,657.83,10.21,661.56,5900.03,"{""gpt-4.1-nano"":5,""gpt-4.1-mini"":5}"
2025-08-19 13:24:05,60,11,11,2.75,9.92,9.84,11.26,11.93,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 13:25:14,60,9,9,2.25,1643.47,14.86,6077.78,9108.71,"{""gpt-4.1-mini"":5,""gpt-4.1-nano"":4}"
2025-08-19 13:26:20,60,5,5,1.25,6341.99,6455.28,7265.85,7290.84,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 13:27:24,60,6,6,1.5,5603.71,5862.18,8461.02,10397.9,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":3}"
2025-08-19 13:28:26,60,6,6,1.5,5468.75,4943.29,7337.97,8040.98,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 13:29:30,60,6,6,1.5,5526.84,5476.32,6896.33,7097.4,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 13:30:41,60,6,6,1.5,6910.15,6639.17,9660.86,11956.87,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 13:31:45,60,6,6,1.5,5665.34,5979.36,8858.77,9429.6,"{""gpt-4.1-mini"":4,""gpt-4.1-nano"":2}"
2025-08-19 13:33:58,60,1,1,0.25,104324.56,104324.56,104324.56,104324.56,"{""gpt-4.1-nano"":1}"
2025-08-19 13:35:04,60,6,6,1.5,5957.37,5767.35,7348.7,7402.5,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 13:36:13,60,6,6,1.5,6384.14,6196.32,7787.04,8661.87,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 13:37:17,60,6,6,1.5,5655.96,6312.28,8274.69,9045.45,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 13:38:26,60,5,5,1.25,6660.15,6468.77,7401.88,7680.61,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 13:39:32,60,6,6,1.5,6022.42,6234.8,6267.77,6288.66,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":3}"
2025-08-19 13:52:09,60,1,1,0.25,9901.99,9901.99,9901.99,9901.99,"{""gpt-4.1-mini"":1}"
2025-08-19 13:53:12,60,4,4,1.0,10782.47,9931.48,15822.14,17260.54,"{""gpt-4.1-nano"":2,""gpt-4.1-mini"":2}"
2025-08-19 13:54:14,60,5,5,1.25,7211.46,6564.55,9111.74,9728.79,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 13:55:16,60,5,5,1.25,7533.23,8195.45,9138.28,9318.11,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 13:59:20,60,1,1,0.25,6538.74,6538.74,6538.74,6538.74,"{""gpt-4.1-mini"":1}"
2025-08-19 14:00:21,60,11,11,2.75,57.78,52.41,76.7,107.53,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 14:01:22,60,11,11,2.75,54.89,51.18,72.09,97.85,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 14:02:23,60,11,11,2.75,71.29,61.79,104.85,144.51,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 14:03:24,60,11,11,2.75,73.13,60.27,102.97,107.59,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 14:04:25,60,11,11,2.75,56.37,49.07,70.9,108.41,"{""gpt-4.1-mini"":6,""gpt-4.1-nano"":5}"
2025-08-19 14:05:25,60,11,11,2.75,451.34,38.12,72.7,4083.7,"{""gpt-4.1-nano"":6,""gpt-4.1-mini"":5}"
2025-08-19 14:06:26,60,11,11,2.75,67.09,53.65,118.7,124.03,"{""gpt-4.1-nano"":6,""gpt-4.1-mini"":5}"
2025-08-19 14:07:26,60,11,11,2.75,47.93,36.12,78.05,96.76,"{""gpt-4.1-nano"":6,""gpt-4.1-mini"":5}"
2025-08-19 14:08:37,60,8,8,2.0,1787.97,73.12,6441.23,8071.58,"{""gpt-4.1-nano"":4,""gpt-4.1-mini"":4}"
2025-08-19 14:09:48,60,5,5,1.25,5911.59,5765.38,9359.92,10225.94,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 14:10:53,60,5,5,1.25,7559.25,7912.65,9463.52,10343.87,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:12:03,60,5,5,1.25,6536.03,6325.92,7843.77,8517.51,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:13:11,60,5,5,1.25,6490.5,6671.89,7740.35,8206.84,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:14:19,60,5,5,1.25,6082.97,6547.38,7753.13,8058.92,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:15:31,60,5,5,1.25,6928.61,6546.34,7640.6,7686.29,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:16:42,60,5,5,1.25,7013.79,7034.91,8944.03,9872.02,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:17:52,60,4,4,1.0,8628.75,8667.38,9675.58,9806.69,"{""gpt-4.1-mini"":2,""gpt-4.1-nano"":2}"
2025-08-19 14:19:01,60,5,5,1.25,8548.14,7676.83,10761.19,12049.46,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:20:04,60,5,5,1.25,7207.42,7284.75,8421.35,8627.56,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 14:21:14,60,6,6,1.5,6569.89,6304.97,8720.51,10153.59,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 14:22:22,60,5,5,1.25,5932.27,6366.03,6824.2,7072.27,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 14:23:24,60,4,4,1.0,10397.55,6397.85,19188.2,23907.31,"{""gpt-4.1-mini"":2,""gpt-4.1-nano"":2}"
2025-08-19 14:24:31,60,5,5,1.25,5958.68,5732.14,7830.12,8681.14,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 14:25:32,60,6,6,1.5,5046.86,4804.28,6338.7,7156.87,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":3}"
2025-08-19 14:26:43,60,5,5,1.25,6519.16,6636.61,7974.06,8502.19,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 14:27:51,60,5,5,1.25,8464.08,7001.93,12219.23,14052.55,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:29:03,60,5,5,1.25,6643.36,6479.35,7573.31,8218.49,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:30:13,60,5,5,1.25,7085.82,7276.56,8172.82,8687.16,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 14:31:17,60,5,5,1.25,7680.59,7172.38,9027.28,9337.05,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 14:32:31,60,5,5,1.25,7050.81,7172.02,8291.03,8849.34,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 14:33:40,60,4,4,1.0,8712.57,6672.08,13127.31,15469.74,"{""gpt-4.1-nano"":2,""gpt-4.1-mini"":2}"
2025-08-19 14:34:50,60,5,5,1.25,8804.08,8283.6,12115.8,14024.44,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 14:42:45,60,1,1,0.25,8846.49,8846.49,8846.49,8846.49,"{""gpt-4.1-mini"":1}"
2025-08-19 14:44:17,60,1,1,0.25,6503.13,6503.13,6503.13,6503.13,"{""gpt-4.1-mini"":1}"
2025-08-19 14:45:18,60,5,5,1.25,7119.15,6778.85,8627.51,9029.44,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 15:14:12,60,1,1,0.25,10236.36,10236.36,10236.36,10236.36,"{""gpt-4.1-mini"":1}"
2025-08-19 15:15:16,60,5,5,1.25,7902.94,6808.57,10417.34,11513.81,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
2025-08-19 15:16:17,60,5,5,1.25,7098.95,6706.78,9703.55,11069.81,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 15:17:23,60,5,5,1.25,6132.62,5942.9,7177.61,7390.59,"{""gpt-4.1-mini"":3,""gpt-4.1-nano"":2}"
2025-08-19 15:18:27,60,6,6,1.5,5630.54,6730.43,7679.96,8262.05,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":3}"
2025-08-19 15:19:40,60,5,5,1.25,7270.76,7204.38,9101.21,9486.16,"{""gpt-4.1-nano"":3,""gpt-4.1-mini"":2}"
